title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
群鹰之岛,"5,69€",,,,,(10 reviews),Pixelnicks,Surefire.Games,Positive,,"TITLE: 群鹰之岛
GENRE: Action, Adventure, Indie, RPG
DEVELOPER: Pixelnicks
PUBLISHER: Surefire.Games
RELEASE DATE: 18 Feb, 2021","18 Feb, 2021",Adventure RPG Action-Adventure Cute Indie +,
Canvas Hockey,Bundle info,,,,,(18 reviews),Brandon Alexander Holt,Synvoyity LLC,Positive,,"TITLE: Canvas Hockey
GENRE: Action, Casual, Sports
DEVELOPER: Brandon Alexander Holt
PUBLISHER: Synvoyity LLC
FRANCHISE: Canvas Sports
RELEASE DATE: 5 Aug, 2020","5 Aug, 2020",Hockey 2D Top-Down Arcade Cartoony +,7
Maze: Sinister Play Collector's Edition,,,,,,(12 reviews),Mad Head Games,Big Fish Games,Positive,,"TITLE: Maze: Sinister Play Collector's Edition
GENRE: Adventure, Casual
DEVELOPER: Mad Head Games
PUBLISHER: Big Fish Games
FRANCHISE: Maze
RELEASE DATE: 21 Jun, 2020","21 Jun, 2020",Adventure Hidden Object Puzzle Point & Click +,
Minimal Maze,Bundle info,,,,,(23 reviews),Blue.Owl,Blue.Owl,Positive,,"TITLE: Minimal Maze
GENRE: Casual, Indie, Strategy
DEVELOPER: Blue.Owl
PUBLISHER: Blue.Owl
RELEASE DATE: 17 Jul, 2020","17 Jul, 2020",Casual Minimalist Puzzle Relaxing Beautiful +,
The Spectre Files: Deathstalker,,,,,,(18 reviews),Game Refuge,Galloping Ghost Productions,Positive,,"TITLE: The Spectre Files: Deathstalker
GENRE: Adventure, Simulation
DEVELOPER: Game Refuge, Galloping Ghost Productions
PUBLISHER: Galloping Ghost Productions
RELEASE DATE: 27 Oct, 2020","27 Oct, 2020",Choose Your Own Adventure Horror Investigation +,
Shooting Arena VR,,,,,,(26 reviews),Infinity Studio,Infinity Studio,Positive,,"TITLE: Shooting Arena VR
GENRE: Action, Casual, Early Access
DEVELOPER: Infinity Studio
PUBLISHER: Infinity Studio
RELEASE DATE: 21 Jul, 2020
EARLY ACCESS RELEASE DATE: 21 Jul, 2020","21 Jul, 2020",Early Access Action Shooter Casual FPS +,
Flying Slime,Bundle info,,,,,(12 reviews),JoinGames,BlueStacks Systems Inc,Positive,,"TITLE: Flying Slime
GENRE: Action, Adventure, Casual, Indie, Strategy
DEVELOPER: JoinGames
PUBLISHER: BlueStacks Systems Inc, 电钮组
RELEASE DATE: 19 Aug, 2020","19 Aug, 2020",Casual Action-Adventure Cartoon Cute Indie +,
MOMO.EXE VR,"8,19€",,,,,(13 reviews),Dymchick1,Dymchick1,Positive,,"TITLE: MOMO.EXE VR
GENRE: Action, Adventure, Indie
DEVELOPER: Dymchick1
PUBLISHER: Dymchick1
FRANCHISE: MOMO.EXE
RELEASE DATE: 14 Aug, 2020","14 Aug, 2020",Adventure Horror VR Multiple Endings 3D +,
HuH?: and the Adventures of something,Bundle info,,,,,(24 reviews),StarSystemStudios,StarSystemStudios,Positive,,"TITLE: HuH?: and the Adventures of something
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: StarSystemStudios
PUBLISHER: StarSystemStudios
RELEASE DATE: 14 Aug, 2020","14 Aug, 2020",Action Casual Arcade Platformer Cute +,
Neon Cyborg Cat Club,,,,,,(14 reviews),Edwin Montgomery,Myshkin Entertainment,Positive,,"TITLE: Neon Cyborg Cat Club
GENRE: Casual
DEVELOPER: Edwin Montgomery, Myshkin Entertainment
PUBLISHER: Myshkin Entertainment
RELEASE DATE: 10 Sep, 2020","10 Sep, 2020",Atmospheric Experimental Cyberpunk Cats +,
The Mikado Birdgirl in Taichung,,,,,,(41 reviews),Erotes Studio,Erotes Studio,Positive,,"TITLE: The Mikado Birdgirl in Taichung
GENRE: Adventure, Casual, Indie
DEVELOPER: Erotes Studio
PUBLISHER: Erotes Studio
FRANCHISE: The Leopard Catgirl in Miaoli, 苗栗國的石虎少女, 苗栗國的石虎少女 (The Leopard Catgirl in Miaoli)
RELEASE DATE: 22 Jan, 2021","22 Jan, 2021",Dating Sim Story Rich Visual Novel Word Game +,
The Call Of Paper Plane,,,,,,(21 reviews),Shanhai Game Studio,Shanhai Game Studio,Positive,,"TITLE: The Call Of Paper Plane
GENRE: Adventure, Casual, Indie
DEVELOPER: Shanhai Game Studio
PUBLISHER: Shanhai Game Studio
RELEASE DATE: 11 Jan, 2021
EARLY ACCESS RELEASE DATE: 18 Sep, 2020","11 Jan, 2021",Adventure Casual Action-Adventure Clicker +,6
Last of Ass,,,,,,(18 reviews),SSP Games,SSP Games,Positive,,"TITLE: Last of Ass
GENRE: Adventure, Indie, RPG
DEVELOPER: SSP Games
PUBLISHER: SSP Games
RELEASE DATE: 5 Dec, 2020","5 Dec, 2020",RPG Adventure Horror Survival First-Person +,
SPL: Skilled Pilots Live,,,,,,(11 reviews),Me Vs Game,Me Vs Game,Positive,,"TITLE: SPL: Skilled Pilots Live
GENRE: Action, Indie, Early Access
DEVELOPER: Me Vs Game
PUBLISHER: Me Vs Game
RELEASE DATE: 1 Dec, 2020
EARLY ACCESS RELEASE DATE: 1 Dec, 2020","1 Dec, 2020",Looter Shooter Roguelite Flight Space Sim +,
Bulldozer,Bundle info,,,,,(12 reviews),NanningsGames,NanningsGames,Positive,,"TITLE: Bulldozer
GENRE: Action, Casual, Indie, Racing
DEVELOPER: NanningsGames
PUBLISHER: NanningsGames
FRANCHISE: Nannings
RELEASE DATE: 31 Jul, 2020","31 Jul, 2020",Action Isometric Driving Singleplayer Arcade +,
Crystal Chasers League,,,,,,(11 reviews),Flipstar,Flipstar,Positive,,"TITLE: Crystal Chasers League
GENRE: Action, Casual, Indie, Racing, Early Access
DEVELOPER: Flipstar
PUBLISHER: Flipstar
RELEASE DATE: 21 Oct, 2020
EARLY ACCESS RELEASE DATE: 21 Oct, 2020","21 Oct, 2020",Multiplayer Action Funny Racing Casual +,
Space Kettle,,,,,,(26 reviews),Maxkres Games,Maxkres Games,Positive,,"TITLE: Space Kettle
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Maxkres Games
PUBLISHER: Maxkres Games
RELEASE DATE: 7 Feb, 2021
EARLY ACCESS RELEASE DATE: 1 Jan, 2021","7 Feb, 2021",Difficult Singleplayer Physics Funny Action +,
Dark Stone: The Lightseeker,,,,,,(18 reviews),Jinny Lab Inc.,Jinny Lab Inc.,Positive,,"TITLE: Dark Stone: The Lightseeker
GENRE: Indie, Strategy, Early Access
DEVELOPER: Jinny Lab Inc.
PUBLISHER: Jinny Lab Inc.
RELEASE DATE: 9 Oct, 2020
EARLY ACCESS RELEASE DATE: 9 Oct, 2020","9 Oct, 2020",Roguelike Strategy Deckbuilding Dark Fantasy +,
Frontier Quest,,,,,,(10 reviews),Stellar Advent Pty Ltd,Stellar Advent Pty Ltd,Positive,,"TITLE: Frontier Quest
GENRE: Casual, Indie, RPG
DEVELOPER: Stellar Advent Pty Ltd
PUBLISHER: Stellar Advent Pty Ltd
RELEASE DATE: 28 Jan, 2021","28 Jan, 2021",2D Relaxing Cute Turn-Based Strategy RPG +,
Heroic Armored Company,,,,,,(138 reviews),魔法谷工作室(Magicvalley Studio),魔法谷工作室(Magicvalley Studio),Mixed,,"TITLE: Heroic Armored Company
GENRE: Action, Adventure, Casual, Indie, Racing, Simulation, Early Access
DEVELOPER: 魔法谷工作室(Magicvalley Studio)
PUBLISHER: 魔法谷工作室(Magicvalley Studio)
RELEASE DATE: 20 Aug, 2020
EARLY ACCESS RELEASE DATE: 20 Aug, 2020","20 Aug, 2020",Early Access Tanks Vehicular Combat Military +,8
