title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Inferno 2,,,,,,(28 reviews),Radiangames,Radiangames,Positive,,"TITLE: Inferno 2
GENRE: Action, Adventure, Indie, RPG
DEVELOPER: Radiangames
PUBLISHER: Radiangames
RELEASE DATE: 29 Jul, 2015","29 Jul, 2015",Indie Action Adventure Twin Stick Shooter +,
Strategic Command Classic: WWI,,,,,,(18 reviews),Fury Software,Slitherine Ltd.,Mostly Positive,,"TITLE: Strategic Command Classic: WWI
GENRE: Simulation, Strategy
DEVELOPER: Fury Software
PUBLISHER: Slitherine Ltd.
RELEASE DATE: 1 Mar, 2011","1 Mar, 2011",Simulation Strategy World War I +,
Baseball Mogul 2015,,,,,,(27 reviews),"Sports Mogul, Inc.","Sports Mogul, Inc.",Positive,,"TITLE: Baseball Mogul 2015
GENRE: Casual, Simulation, Sports, Strategy
DEVELOPER: Sports Mogul, Inc.
PUBLISHER: Sports Mogul, Inc.
RELEASE DATE: 3 Apr, 2014","3 Apr, 2014",Sports Simulation Casual Strategy Baseball +,
The chronicles of Emerland. Solitaire.,Bundle info,,,,,(37 reviews),Rainbow Games,Rainbow Games,Mostly Positive,,"TITLE: The chronicles of Emerland. Solitaire.
GENRE: Casual
DEVELOPER: Rainbow Games
PUBLISHER: Rainbow Games
RELEASE DATE: 4 Oct, 2013","4 Oct, 2013",Solitaire Casual Card Game Hidden Object +,
Straima,Bundle info,,,,,(41 reviews),Anthony Case,Caiysware,Positive,,"TITLE: Straima
GENRE: Action, Indie
DEVELOPER: Anthony Case
PUBLISHER: Caiysware
FRANCHISE: Caiysware
RELEASE DATE: 25 Sep, 2015","25 Sep, 2015",Precision Platformer Difficult Platformer Indie +,
Ookibloks,,,,,,(22 reviews),Studio Work3,Skyboy Games,Positive,,"TITLE: Ookibloks
GENRE: Action, Casual, Indie
DEVELOPER: Studio Work3, Lampert & Sons, Skyboy Games
PUBLISHER: Skyboy Games
RELEASE DATE: 8 Oct, 2015","8 Oct, 2015",Indie Casual Action Soundtrack Puzzle +,
Perfect Universe - Play with Gravity,,,,,,(21 reviews),Will Sykes Games,Excalibur Games,Positive,,"TITLE: Perfect Universe - Play with Gravity
GENRE: Action, Indie
DEVELOPER: Will Sykes Games
PUBLISHER: Excalibur Games
RELEASE DATE: 26 Feb, 2016","26 Feb, 2016",Indie Physics Multiplayer Co-op Difficult +,
Asdivine Hearts,,,,,,(32 reviews),Exe Create Inc.,KEMCO,Positive,,"TITLE: Asdivine Hearts
GENRE: Adventure, Casual, Indie, RPG, Strategy
DEVELOPER: Exe Create Inc.
PUBLISHER: KEMCO
FRANCHISE: Asdivine Hearts
RELEASE DATE: 1 Feb, 2016","1 Feb, 2016",RPG Adventure Casual Indie Strategy +,
Strania - The Stella Machina -,,,,,,(40 reviews),G.rev Ltd.,G.rev Ltd.,Positive,,"TITLE: Strania - The Stella Machina -
GENRE: Action
DEVELOPER: G.rev Ltd.
PUBLISHER: G.rev Ltd.
RELEASE DATE: 24 Nov, 2015","24 Nov, 2015",Action Shoot 'Em Up Mechs Bullet Hell +,
Gravity Lab,,,,,,(35 reviews),Mark Schramm,Mark Schramm,Positive,,"TITLE: Gravity Lab
GENRE: Indie
DEVELOPER: Mark Schramm
PUBLISHER: Mark Schramm
RELEASE DATE: 21 Oct, 2016","21 Oct, 2016",Indie VR Puzzle Physics Sandbox +,
