title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Legendary Mahjong,Bundle info,,,,,(21 reviews),IP Izmailov Vladimir Yurievich,IP Izmailov Vladimir Yurievich,Positive,,"TITLE: Legendary Mahjong
GENRE: Casual, Indie
DEVELOPER: IP Izmailov Vladimir Yurievich
PUBLISHER: IP Izmailov Vladimir Yurievich
FRANCHISE: Legendary Mahjong
RELEASE DATE: 25 Oct, 2017","25 Oct, 2017",Indie Casual +,
The Quarter Game,,,,,,(42 reviews),LAME Dimension,LAME Dimension,Positive,,"TITLE: The Quarter Game
GENRE: Action, Adventure, Indie
DEVELOPER: LAME Dimension, Flying Pudding Studios
PUBLISHER: LAME Dimension
RELEASE DATE: 8 Dec, 2017","8 Dec, 2017",Indie Action Adventure Anime +,
Master Arena,,,,,,(21 reviews),Powered Games Entertainment,,Positive,,"TITLE: Master Arena
GENRE: Action, Indie, Early Access
DEVELOPER: Powered Games Entertainment
PUBLISHER: Powered Games Entertainment
RELEASE DATE: 16 Oct, 2020",,Early Access Shooter Arena Shooter Action +,
Castle Clicker : Building Tycoon,,,,Free To Play,,(560 reviews),Autotelic Games LLC,Autotelic Games LLC,Mixed,,"TITLE: Castle Clicker : Building Tycoon
GENRE: Casual, Free to Play, Indie, Simulation, Strategy
DEVELOPER: Autotelic Games LLC
PUBLISHER: Autotelic Games LLC
RELEASE DATE: 2 Oct, 2017","2 Oct, 2017",Free to Play Clicker Indie Casual Simulation +,
AMPLITUDE: A Visual Novel,,,,,,(31 reviews),Ceylon Entertainment,Ceylon Entertainment,Positive,,"TITLE: AMPLITUDE: A Visual Novel
GENRE: Casual, Indie, Simulation, Strategy
DEVELOPER: Ceylon Entertainment
PUBLISHER: Ceylon Entertainment
RELEASE DATE: 5 Sep, 2017","5 Sep, 2017",Casual Visual Novel Simulation Indie Gore +,
Tiny Bubbles,,,,,,(37 reviews),Pine Street Codeworks LLC,Pine Street Codeworks LLC,Positive,,"TITLE: Tiny Bubbles
GENRE: Casual, Indie, Simulation, Strategy
DEVELOPER: Pine Street Codeworks LLC
PUBLISHER: Pine Street Codeworks LLC
RELEASE DATE: 8 May, 2018","8 May, 2018",Puzzle Physics Relaxing Match 3 Cute +,
Devader,,,,,,(26 reviews),Falkenbrew,Falkenbrew,Positive,,"TITLE: Devader
GENRE: Action, Indie, Strategy
DEVELOPER: Falkenbrew
PUBLISHER: Falkenbrew
RELEASE DATE: 2 Sep, 2019","2 Sep, 2019",Action Indie Strategy Bullet Hell Local Co-Op +,
Nudist Beach Survival Simulator,,,,,,(19 reviews),Tornado Games,Tornado Games,Positive,,"TITLE: Nudist Beach Survival Simulator
GENRE: Adventure, Indie, RPG, Simulation
DEVELOPER: Tornado Games
PUBLISHER: Tornado Games
FRANCHISE: Nudist Beach Survival Simulator
RELEASE DATE: 28 Sep, 2017","28 Sep, 2017",Simulation Indie RPG Adventure Nudity +,
God of Light: Remastered,Bundle info,,,,,(28 reviews),Playmous,Playmous,Positive,,"TITLE: God of Light: Remastered
GENRE: Casual, Indie
DEVELOPER: Playmous, EON Games
PUBLISHER: Playmous, Plug In Digital
RELEASE DATE: 8 Nov, 2017","8 Nov, 2017",Indie Casual Puzzle +,
Titus the Fox,,,,,,(11 reviews),Titus Interactive,Interplay,Positive,,"TITLE: Titus the Fox
GENRE: Action, Adventure, RPG
DEVELOPER: Titus Interactive
PUBLISHER: Interplay
RELEASE DATE: 1 Jan, 1992","1 Jan, 1992",Action Adventure RPG Platformer 2D +,
Feast Your Eyes,Bundle info,,,,,(12 reviews),Yai Gameworks,Yai Gameworks,Positive,,"TITLE: Feast Your Eyes
GENRE: Adventure, Indie
DEVELOPER: Yai Gameworks
PUBLISHER: Yai Gameworks
FRANCHISE: Close Your Eyes
RELEASE DATE: 11 Aug, 2020","11 Aug, 2020",Adventure Indie Nudity Gore Violent 2.5D +,
Eredia: The Diary of Heroes,,,,,,(30 reviews),Potatobrain Games,Potatobrain Games,Positive,,"TITLE: Eredia: The Diary of Heroes
GENRE: Adventure, Casual, Indie, RPG
DEVELOPER: Potatobrain Games
PUBLISHER: Potatobrain Games
RELEASE DATE: 13 Apr, 2018","13 Apr, 2018",Adventure Indie RPG Casual Story Rich +,
