title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Funfair,,,,,,(32 reviews),TheStonefox,Sysdia Games,Mostly Positive,,"TITLE: Funfair
GENRE: Casual, Early Access
DEVELOPER: TheStonefox
PUBLISHER: Sysdia Games
RELEASE DATE: 20 Aug, 2016","20 Aug, 2016",Early Access Casual VR +,
Draw Near,,,,Free,,(20 reviews),Omniscience,Taiga Nishimura,Mostly Positive,,"TITLE: Draw Near
GENRE: Action, Adventure, Free to Play, Indie, Simulation
DEVELOPER: Omniscience
PUBLISHER: Taiga Nishimura
RELEASE DATE: 15 Apr, 2018","15 Apr, 2018",Free to Play Simulation Indie Action +,
Project Green Beat,,,,,,(13 reviews),SeattleEgg,Indie Game - None,Mostly Positive,,"TITLE: Project Green Beat
GENRE: Action, Casual, Indie
DEVELOPER: SeattleEgg
PUBLISHER: Indie Game - None
RELEASE DATE: 16 Jan, 2015","16 Jan, 2015",Casual Action Indie On-Rails Shooter Music +,
Molecats,Bundle info,,,,,(15 reviews),Vidroid,Vidroid,Mostly Positive,,"TITLE: Molecats
GENRE: Adventure, Casual, Indie
DEVELOPER: Vidroid
PUBLISHER: Vidroid
RELEASE DATE: 28 Aug, 2018","28 Aug, 2018",Adventure Casual Indie Puzzle Difficult +,
Emmerholt: Prologue,,,,,,(98 reviews),Oneiric Entertainment LLC,Oneiric Entertainment LLC,Mostly Positive,,"TITLE: Emmerholt: Prologue
GENRE: Action, Adventure, Indie, RPG
DEVELOPER: Oneiric Entertainment LLC
PUBLISHER: Oneiric Entertainment LLC
RELEASE DATE: 14 Feb, 2017","14 Feb, 2017",Adventure Indie Action RPG VR +,
"Project ""Fire""",,,,Free To Play,,(96 reviews),Distant Alliance,Distant Alliance,Mostly Positive,,"TITLE: Project ""Fire""
GENRE: Adventure, Free to Play, Indie, RPG
DEVELOPER: Distant Alliance
PUBLISHER: Distant Alliance
RELEASE DATE: 1 Oct, 2016","1 Oct, 2016",Free to Play Adventure RPG Indie +,
ULTRAWORLD EXODUS,,,,Free to Play,,(68 reviews),Neon Serpent LLC,Neon Serpent LLC,Mostly Positive,,"TITLE: ULTRAWORLD EXODUS
GENRE: Free to Play, Indie
DEVELOPER: Neon Serpent LLC
PUBLISHER: Neon Serpent LLC
RELEASE DATE: 4 Dec, 2014","4 Dec, 2014",Indie Free to Play Exploration Walking Simulator +,
Crash Force®,,,,Free to Play,,(124 reviews),Ascanio Entertainment,Ascanio Entertainment,Mostly Positive,,"TITLE: Crash Force®
GENRE: Action, Indie, RPG
DEVELOPER: Ascanio Entertainment
PUBLISHER: Ascanio Entertainment
RELEASE DATE: 20 Jul, 2017","20 Jul, 2017",Action Indie RPG Multiplayer Arena Shooter +,
President Erect VR,,,,,,(102 reviews),Ape Man Robot,Lines Media Corp.,Mostly Positive,,"TITLE: President Erect VR
GENRE: Casual, Free to Play, Indie
DEVELOPER: Ape Man Robot
PUBLISHER: Lines Media Corp.
RELEASE DATE: 20 Dec, 2016","20 Dec, 2016",Sexual Content Free to Play Casual Indie VR +,
Magnesia,,,,,,(76 reviews),Toruko Games,Toruko Games,Mostly Positive,,"TITLE: Magnesia
GENRE: Adventure, Casual, Free to Play, Indie, RPG, Early Access
DEVELOPER: Toruko Games
PUBLISHER: Toruko Games
RELEASE DATE: 7 Jan, 2019
EARLY ACCESS RELEASE DATE: 7 Jan, 2019","7 Jan, 2019",Free to Play Indie Early Access Casual RPG +,
