title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Math Puzzle Alpha Challenge,,,,,,(6 reviews),Orlando Santos de Oliveira,Orlando Santos de Oliveira,6 user reviews,,"TITLE: Math Puzzle Alpha Challenge
GENRE: Casual, Indie, Strategy
DEVELOPER: Orlando Santos de Oliveira
PUBLISHER: Orlando Santos de Oliveira
RELEASE DATE: 23 Apr, 2020","23 Apr, 2020",Indie Casual Strategy Puzzle Logic +,
Move Forward,,,,,,(4 reviews),Lukashevich Egor,Lukash Entertainment,4 user reviews,,"TITLE: Move Forward
GENRE: Adventure, Indie
DEVELOPER: Lukashevich Egor
PUBLISHER: Lukash Entertainment
RELEASE DATE: 24 Apr, 2021","24 Apr, 2021",Adventure 2D Platformer Arcade Platformer +,
Suzy Burger,,,,,,,QuickBobber,QuickBobber,,,"TITLE: Suzy Burger
GENRE: Casual, Indie, Simulation
DEVELOPER: QuickBobber
PUBLISHER: QuickBobber
RELEASE DATE: 6 Jun, 2021","6 Jun, 2021",Casual Simulation Strategy Point & Click 2D +,
两体,,,,,,(2 reviews),魔书科技,魔书科技,2 user reviews,,"TITLE: 两体
GENRE: Action, Adventure, Casual, Massively Multiplayer, Early Access
DEVELOPER: 魔书科技
PUBLISHER: 魔书科技
RELEASE DATE: 15 Mar, 2021
EARLY ACCESS RELEASE DATE: 15 Mar, 2021","15 Mar, 2021",Early Access Casual MOBA Arena Shooter +,
"Go home, go home?",,,,,,(3 reviews),比爾呷可頌,比爾呷可頌,3 user reviews,,"TITLE: Go home, go home?
GENRE: RPG
DEVELOPER: 比爾呷可頌
PUBLISHER: 比爾呷可頌, Light of Creators
FRANCHISE: Light of Creators
RELEASE DATE: 19 May, 2021","19 May, 2021",RPG Interactive Fiction Puzzle Clicker CRPG +,
Snow Strike,,,,,,(2 reviews),"Epyx, Inc.",Pixel Games UK,2 user reviews,,"TITLE: Snow Strike
GENRE: Action, Simulation
DEVELOPER: Epyx, Inc.
PUBLISHER: Pixel Games UK
RELEASE DATE: 1 Jun, 1990","1 Jun, 1990",Flight FPS Retro Action 3D Simulation +,
Phantom Astronaut Lucid VR,"6,59€",,,,,(4 reviews),Phantom Astronaut,Clever Fox LLC,4 user reviews,,"TITLE: Phantom Astronaut Lucid VR
GENRE: Casual, Indie, Simulation
DEVELOPER: Phantom Astronaut
PUBLISHER: Clever Fox LLC
RELEASE DATE: 30 Sep, 2019","30 Sep, 2019",Indie Casual Simulation Gore Nudity VR +,
Zyphoid,,,,,,(4 reviews),N J FOX,N J FOX,4 user reviews,,"TITLE: Zyphoid
GENRE: Action, Adventure, Indie
DEVELOPER: N J FOX
PUBLISHER: N J FOX
FRANCHISE: Zyphoid
RELEASE DATE: 7 Mar, 2019","7 Mar, 2019",Adventure Action Indie +,
"Gazzel Quest, The Five Magic Stones",,,,,,(4 reviews),DemonVideogames,DemonVideogames,4 user reviews,,"TITLE: Gazzel Quest, The Five Magic Stones
GENRE: Action, Indie
DEVELOPER: DemonVideogames
PUBLISHER: DemonVideogames
RELEASE DATE: 18 Jul, 2016","18 Jul, 2016",Action Indie Shoot 'Em Up +,
Insanium,,,,,,(1 reviews),Conan McPhee,Catsmeat Studios,1 user reviews,,"TITLE: Insanium
GENRE: Casual, Indie, Strategy
DEVELOPER: Conan McPhee, Joe Assi
PUBLISHER: Catsmeat Studios
RELEASE DATE: 31 Mar, 2021","31 Mar, 2021",Tactical RPG Strategy Mystery Dungeon 2D +,
Bock Bock,,,,,,(1 reviews),Ben Fitzpatrick,Ben Fitzpatrick,1 user reviews,,"TITLE: Bock Bock
GENRE: Indie, Racing, Strategy
DEVELOPER: Ben Fitzpatrick
PUBLISHER: Ben Fitzpatrick
RELEASE DATE: 15 Apr, 2020","15 Apr, 2020",Racing Strategy Indie Gambling Turn-Based +,
RCRacer VR,"6,59€",,,,,,games.Sharbit,games.Sharbit,,,"TITLE: RCRacer VR
GENRE: Action, Indie, Racing
DEVELOPER: games.Sharbit
PUBLISHER: games.Sharbit
RELEASE DATE: 8 Oct, 2021
EARLY ACCESS RELEASE DATE: 30 Nov, 2018","8 Oct, 2021",Racing Action Indie Casual Singleplayer +,
RockaBowling VR,,,,,,(1 reviews),Reflux Interactive,Reflux Interactive,1 user reviews,,"TITLE: RockaBowling VR
GENRE: Casual, Indie, Simulation, Sports
DEVELOPER: Reflux Interactive
PUBLISHER: Reflux Interactive
RELEASE DATE: 10 May, 2019","10 May, 2019",Simulation Sports Indie Casual VR +,
Sweet Pea,,,,,,(2 reviews),Chris Tharp,Chris N Tharp,2 user reviews,,"TITLE: Sweet Pea
GENRE: Action, Adventure
DEVELOPER: Chris Tharp
PUBLISHER: Chris N Tharp
RELEASE DATE: 13 Apr, 2021
EARLY ACCESS RELEASE DATE: 5 Nov, 2020","13 Apr, 2021",Precision Platformer Side Scroller 2D Platformer +,17
Awesome Obstacle Challenge,,,,,,(9 reviews),VRoximity LLC,VRoximity LLC,9 user reviews,,"TITLE: Awesome Obstacle Challenge
GENRE: Action, Indie, Racing, Sports, Early Access
DEVELOPER: VRoximity LLC
PUBLISHER: VRoximity LLC
RELEASE DATE: 22 Sep, 2016","22 Sep, 2016",Action Racing Sports Indie Early Access +,
Endurance - space action,"6,59€",,,,,(3 reviews),Ivan Panasenko,Ivan Panasenko,3 user reviews,,"TITLE: Endurance - space action
GENRE: Action, Adventure, Indie, RPG
DEVELOPER: Ivan Panasenko
PUBLISHER: Ivan Panasenko
RELEASE DATE: 31 Aug, 2020
EARLY ACCESS RELEASE DATE: 17 Aug, 2020","31 Aug, 2020",Action Adventure RPG Action RPG Fighting +,
DREAM TIME,,,,,,(8 reviews),AI mainland Game studio,AI mainland Game studio,8 user reviews,,"TITLE: DREAM TIME
GENRE: Casual, Indie, RPG
DEVELOPER: AI mainland Game studio
PUBLISHER: AI mainland Game studio
RELEASE DATE: 18 Jun, 2021","18 Jun, 2021",Casual RPG Exploration Clicker Linear +,
Outworld Battlegrounds,,,,,,(1 reviews),HitGrab Game Labs,HitGrab Game Labs,1 user reviews,,"TITLE: Outworld Battlegrounds
GENRE: Action, Indie
DEVELOPER: HitGrab Game Labs
PUBLISHER: HitGrab Game Labs
RELEASE DATE: 1 Aug, 2019
EARLY ACCESS RELEASE DATE: 26 Nov, 2018","1 Aug, 2019",Action Indie Battle Royale Violent Gore +,
Cherry in the Sky,Bundle info,,,,,(5 reviews),The Airship Abstraction,The Airship Abstraction,5 user reviews,,"TITLE: Cherry in the Sky
GENRE: Action, Adventure, Indie
DEVELOPER: The Airship Abstraction
PUBLISHER: The Airship Abstraction
RELEASE DATE: 20 Dec, 2018","20 Dec, 2018",Indie Action Adventure Platformer Cute +,
Insect: Bombardier beetle,,,,,,,JKGames,JKGames,,,"TITLE: Insect: Bombardier beetle
GENRE: Adventure, Indie, Simulation
DEVELOPER: JKGames
PUBLISHER: JKGames
RELEASE DATE: 22 Dec, 2020","22 Dec, 2020",Creature Collector Singleplayer 3D Platformer +,
HyperFighter Boost Mode ON,,,,,,(1 reviews),Boosted Games,Boosted Games,1 user reviews,,"TITLE: HyperFighter Boost Mode ON
GENRE: Action, Casual, Indie
DEVELOPER: Boosted Games
PUBLISHER: Boosted Games
RELEASE DATE: 4 May, 2018","4 May, 2018",Action Indie Casual +,
Destroy the Dummies,,,,,,(3 reviews),Nathan Montgomery,Nathan Montgomery,3 user reviews,,"TITLE: Destroy the Dummies
GENRE: Action, Indie
DEVELOPER: Nathan Montgomery
PUBLISHER: Nathan Montgomery
RELEASE DATE: 26 Apr, 2021","26 Apr, 2021",1990's Fighting Difficult Puzzle Arcade 3D +,
Aliens Are Rude!,,,,,,(3 reviews),David Ruttan,David Ruttan,3 user reviews,,"TITLE: Aliens Are Rude!
GENRE: Action, Indie, Strategy
DEVELOPER: David Ruttan
PUBLISHER: David Ruttan
RELEASE DATE: 10 Oct, 2018","10 Oct, 2018",Action Indie Strategy Platformer Roguelike +,
Foglight Online,,,,,,(1 reviews),DangerousBob Studio LLC,,1 user reviews,,"TITLE: Foglight Online
GENRE: Action, Indie
DEVELOPER: DangerousBob Studio LLC
FRANCHISE: Foglight
RELEASE DATE: 27 Feb, 2021
EARLY ACCESS RELEASE DATE: 4 Feb, 2021","27 Feb, 2021",Action Multiplayer Third-Person Shooter Indie +,
Patched world,,,,,,(4 reviews),Moondolino,Moondolino,4 user reviews,,"TITLE: Patched world
GENRE: Action, RPG, Strategy
DEVELOPER: Moondolino
PUBLISHER: Moondolino
RELEASE DATE: 7 Feb, 2020","7 Feb, 2020",Strategy Action RPG Medieval Rome +,
Ants,"3,29€",,,Not sure? Try the free demo first.,,(2 reviews),KG Games,KG Games,2 user reviews,,"TITLE: Ants
GENRE: Casual, Indie
DEVELOPER: KG Games
PUBLISHER: KG Games
RELEASE DATE: 7 Sep, 2020","7 Sep, 2020",Casual Puzzle Family Friendly Singleplayer +,
Insulated at the bottom,"3,29€",,,Download,,,Waqudoo,Waqudoo,,,"TITLE: Insulated at the bottom
GENRE: Action, Adventure
DEVELOPER: Waqudoo
PUBLISHER: Waqudoo
RELEASE DATE: 22 Jul, 2020","22 Jul, 2020",Third-Person Shooter Action Third Person 3D +,
Brine,,,,,,(8 reviews),BrineTeam,BrineTeam,8 user reviews,,"TITLE: Brine
GENRE: Adventure, Indie, Early Access
DEVELOPER: BrineTeam
PUBLISHER: BrineTeam
RELEASE DATE: 7 May, 2016","7 May, 2016",Adventure Early Access Indie Survival +,
Everything is Black and White,,,,,,(9 reviews),Thomas Gwaltney,Thomas Gwaltney,9 user reviews,,"TITLE: Everything is Black and White
GENRE: Indie
DEVELOPER: Thomas Gwaltney
PUBLISHER: Thomas Gwaltney
RELEASE DATE: 23 Apr, 2015","23 Apr, 2015",Indie Puzzle Platformer +,
Centifeed,,,,,,(5 reviews),Ghost Lord Games,Ghost Lord Games,5 user reviews,,"TITLE: Centifeed
GENRE: Action, Casual, Indie
DEVELOPER: Ghost Lord Games
PUBLISHER: Ghost Lord Games
RELEASE DATE: 9 Nov, 2018","9 Nov, 2018",Casual Action Indie +,
CATAPULT BATTLE SIMULATOR!,,,,,,,SUREHIT STUDIO LLC,SUREHIT STUDIO LLC,,,"TITLE: CATAPULT BATTLE SIMULATOR!
GENRE: Action, Casual, Indie, Massively Multiplayer, Racing, Simulation, Strategy
DEVELOPER: SUREHIT STUDIO LLC
PUBLISHER: SUREHIT STUDIO LLC
RELEASE DATE: 29 Aug, 2019","29 Aug, 2019",Simulation Action Indie Strategy Casual +,
Space Endeavor,,,,,,,Vikinglock,Loudfish Labs,,,"TITLE: Space Endeavor
GENRE: Action, Adventure, Strategy, Early Access
DEVELOPER: Vikinglock
PUBLISHER: Loudfish Labs
RELEASE DATE: 9 Sep, 2021
EARLY ACCESS RELEASE DATE: 9 Sep, 2021","9 Sep, 2021",Early Access Adventure Strategy 2D Fighter +,
Chromancy,,,,,,,Eugene Tan Jianpeng,Eugene Tan Jianpeng,,,"TITLE: Chromancy
GENRE: Action, Casual, Free to Play, Indie
DEVELOPER: Eugene Tan Jianpeng
PUBLISHER: Eugene Tan Jianpeng
RELEASE DATE: 7 Aug, 2021","7 Aug, 2021",Action Casual Arcade Puzzle Shooter 2D +,
Spoorky,,,,,,(2 reviews),GuGames Development,GuGames Development,2 user reviews,,"TITLE: Spoorky
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: GuGames Development
PUBLISHER: GuGames Development
FRANCHISE: Spoorky
RELEASE DATE: 8 Nov, 2018","8 Nov, 2018",Action Adventure Indie Casual +,
Quests Unlimited,,,,,,(9 reviews),Oxrock Studio,Oxrock Studio,9 user reviews,,"TITLE: Quests Unlimited
GENRE: Adventure, Casual, Indie, RPG, Simulation, Early Access
DEVELOPER: Oxrock Studio
PUBLISHER: Oxrock Studio
RELEASE DATE: 13 Feb, 2018","13 Feb, 2018",Adventure RPG Indie Early Access Casual +,
Piozila,,,,,,(1 reviews),Mena Mena Games,Mena Mena Games,1 user reviews,,"TITLE: Piozila
GENRE: Casual, Indie
DEVELOPER: Mena Mena Games
PUBLISHER: Mena Mena Games
RELEASE DATE: 11 Apr, 2021","11 Apr, 2021",Casual Puzzle Grid-Based Movement Stylized +,11
Modern Puzzle,,,,,,(2 reviews),Laush Dmitriy Sergeevich,Laush Studio,2 user reviews,,"TITLE: Modern Puzzle
GENRE: Casual, Indie
DEVELOPER: Laush Dmitriy Sergeevich
PUBLISHER: Laush Studio
RELEASE DATE: 26 Aug, 2020","26 Aug, 2020",Casual Puzzle Card Game Board Game 2D +,
The Great Escape,Bundle info,,,,,(8 reviews),XiNFiNiTY Games,OtakuMaker SARL,8 user reviews,,"TITLE: The Great Escape
GENRE: Action, Casual, Indie
DEVELOPER: XiNFiNiTY Games
PUBLISHER: OtakuMaker SARL
RELEASE DATE: 11 Jan, 2016","11 Jan, 2016",Action Indie Casual Shoot 'Em Up Arcade +,
Tales of Farhollow,,,,,,(5 reviews),Gabaghoul Games LLC,Gabaghoul Games LLC,5 user reviews,,"TITLE: Tales of Farhollow
GENRE: Adventure, RPG
DEVELOPER: Gabaghoul Games LLC
PUBLISHER: Gabaghoul Games LLC
RELEASE DATE: 30 Apr, 2021","30 Apr, 2021",Adventure RPG Card Game Roguelike 2D +,
带摄影师,"0,79€",,,,,,钻石工艺,钻石工艺,,,"TITLE: 带摄影师
GENRE: Indie, Simulation
DEVELOPER: 钻石工艺
PUBLISHER: 钻石工艺
RELEASE DATE: 16 Jul, 2020","16 Jul, 2020",Simulation FPS Life Sim First-Person Indie +,
