title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Lovers of Aether,,,,Free,Very Positive,"(1,377 reviews)",Dan Fornace,Dan Fornace,Very Positive,(10 reviews),"TITLE: Lovers of Aether
GENRE: Casual, Indie, Simulation
DEVELOPER: Dan Fornace
PUBLISHER: Dan Fornace
FRANCHISE: Rivals of Aether
RELEASE DATE: 1 Apr, 2019","1 Apr, 2019",Dating Sim Free to Play Visual Novel Indie +,
best game eu,,,,Free,,(97 reviews),Black FishMaker,MAKER.GG,Very Positive,,"TITLE: best game eu
GENRE: Casual
DEVELOPER: Black FishMaker
PUBLISHER: MAKER.GG
RELEASE DATE: 14 May, 2018","14 May, 2018",Casual Psychological Horror Free to Play FPS +,
STRIDE Multiplayer,,,,,,(118 reviews),Joy Way,Joy Way,Very Positive,,"TITLE: STRIDE Multiplayer
GENRE: Action, Adventure, Casual, Indie, Sports
DEVELOPER: Joy Way
PUBLISHER: Joy Way
RELEASE DATE: 23 Jun, 2021","23 Jun, 2021",VR Action Multiplayer Zombies PvP Indie +,4
BarnFinders: The Pilot,,,,Free To Play,,(495 reviews),Duality Games,Duality Games,Very Positive,,"TITLE: BarnFinders: The Pilot
GENRE: Adventure, Casual, Indie, Simulation
DEVELOPER: Duality Games
PUBLISHER: Duality Games
FRANCHISE: Duality Games
RELEASE DATE: 28 Apr, 2020","28 Apr, 2020",Indie Simulation Casual Adventure Realistic +,5
Ginkgo,,,,Play Game,,(202 reviews),Ginkgo,Ginkgo,Very Positive,,"TITLE: Ginkgo
GENRE: Action, Adventure, Free to Play, Indie
DEVELOPER: Ginkgo
PUBLISHER: Ginkgo
RELEASE DATE: 26 Jun, 2020","26 Jun, 2020",Adventure Horror Puzzle Singleplayer Magic +,
The Emperor's Own: Alpha Teaser,,,,Free,Very Positive,(368 reviews),Volga Studios,Volga Studios,Mixed,(11 reviews),"TITLE: The Emperor's Own: Alpha Teaser
GENRE: Adventure, RPG
DEVELOPER: Volga Studios
PUBLISHER: Volga Studios
RELEASE DATE: 4 Nov, 2020","4 Nov, 2020",RPG Adventure Story Rich Choices Matter +,
Gordian Rooms: A curious heritage Prologue,,,,Free,,(84 reviews),Crimsonite Games,Crimsonite Games,Very Positive,,"TITLE: Gordian Rooms: A curious heritage Prologue
GENRE: Adventure, Casual, Free to Play, Indie
DEVELOPER: Crimsonite Games
PUBLISHER: Crimsonite Games
FRANCHISE: Gordian Rooms
RELEASE DATE: 17 Sep, 2020","17 Sep, 2020",Mystery Atmospheric Adventure Point & Click +,
Soulcaster,,,,Free,,(53 reviews),StarByte,DigiPen Institute of Technology,Very Positive,,"TITLE: Soulcaster
GENRE: Free to Play
DEVELOPER: StarByte
PUBLISHER: DigiPen Institute of Technology
RELEASE DATE: 9 Jul, 2020","9 Jul, 2020",2D Platformer Puzzle Platformer Platformer 2D +,
THE NORMAL THING,,,,Free,Very Positive,(248 reviews),Orata Studio,Orata Studio,Very Positive,(12 reviews),"TITLE: THE NORMAL THING
GENRE: Adventure
DEVELOPER: Orata Studio
PUBLISHER: Orata Studio
RELEASE DATE: 11 Dec, 2020","11 Dec, 2020",2D Adventure Puzzle Top-Down Atmospheric +,
Vectorio - Early Access,,,,,Very Positive,(497 reviews),Ben Nichols,Ben Nichols,Very Positive,(59 reviews),"TITLE: Vectorio - Early Access
GENRE: Casual, Indie, Strategy, Early Access
DEVELOPER: Ben Nichols
PUBLISHER: Ben Nichols
RELEASE DATE: 22 Mar, 2021
EARLY ACCESS RELEASE DATE: 22 Mar, 2021","22 Mar, 2021",Early Access Strategy Base Building PvE 2D +,49
Night in Riverager,,,,Free,,(152 reviews),Two Star Games,V Publishing,Very Positive,,"TITLE: Night in Riverager
GENRE: Adventure, Casual, Free to Play, Indie
DEVELOPER: Two Star Games
PUBLISHER: V Publishing
RELEASE DATE: 2 Feb, 2021","2 Feb, 2021",Horror Casual Point & Click 2.5D Dystopian +,
GashiShachiNoSachi,,,,Free To Play,,(66 reviews),XPLORER SIX,XPLORER SIX,Very Positive,,"TITLE: GashiShachiNoSachi
GENRE: Adventure
DEVELOPER: XPLORER SIX
PUBLISHER: XPLORER SIX
RELEASE DATE: 4 May, 2021","4 May, 2021",Adventure Point & Click 2D Abstract Mystery +,
Larry The Unlucky Part 1,,,,Free To Play,Very Positive,(67 reviews),Strongshell Software,Strongshell Software,Very Positive,(13 reviews),"TITLE: Larry The Unlucky Part 1
GENRE: Adventure, Free to Play, Indie
DEVELOPER: Strongshell Software
PUBLISHER: Strongshell Software
RELEASE DATE: 9 Aug, 2021","9 Aug, 2021",Adventure Point & Click Puzzle Hidden Object +,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alone in the Dark 1,,,,,,(122 reviews),Infogrames,THQ Nordic,Very Positive,,"TITLE: Alone in the Dark 1
GENRE: Action, Adventure
DEVELOPER: Infogrames
PUBLISHER: THQ Nordic
FRANCHISE: Alone in the Dark
RELEASE DATE: 10 Dec, 1993","10 Dec, 1993",Adventure Action Classic Horror Lovecraftian +,
Void Pyramid,,,,Free,,(121 reviews),A. Hagen,A. Hagen,Very Positive,,"TITLE: Void Pyramid
GENRE: RPG
DEVELOPER: A. Hagen
PUBLISHER: A. Hagen
RELEASE DATE: 5 Dec, 2016","5 Dec, 2016",RPG Pixel Graphics Sci-fi Indie JRPG +,
The Red Stare,,,,,,(341 reviews),Play:D,Play:D,Very Positive,,"TITLE: The Red Stare
GENRE: Action, Free to Play, Indie
DEVELOPER: Play:D
PUBLISHER: Play:D, NHTV Breda University of Applied Sciences
RELEASE DATE: 31 Jul, 2017","31 Jul, 2017",Free to Play Action Indie VR +,
Lake of Voices,,,,Free,,(429 reviews),GB Patch Games,GB Patch Games,Very Positive,,"TITLE: Lake of Voices
GENRE: Casual, Free to Play, Indie
DEVELOPER: GB Patch Games
PUBLISHER: GB Patch Games
RELEASE DATE: 28 Aug, 2018","28 Aug, 2018",Free to Play Indie Visual Novel Casual Horror +,
Stoneshard: Prologue,,,,Free,Very Positive,"(3,455 reviews)",Ink Stains Games,HypeTrain Digital,Very Positive,(23 reviews),"TITLE: Stoneshard: Prologue
GENRE: Adventure, Indie, RPG
DEVELOPER: Ink Stains Games
PUBLISHER: HypeTrain Digital
RELEASE DATE: 5 Jun, 2018","5 Jun, 2018",RPG Adventure Free to Play Dungeon Crawler +,
SIMULACRA: Pipe Dreams,,,,Free,,(622 reviews),Kaigan Games OÜ,Kaigan Games OÜ,Very Positive,,"TITLE: SIMULACRA: Pipe Dreams
GENRE: Adventure, Indie, Simulation
DEVELOPER: Kaigan Games OÜ
PUBLISHER: Kaigan Games OÜ
RELEASE DATE: 25 Oct, 2018","25 Oct, 2018",Simulation Indie Adventure Horror +,
