title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Blockle,,,,,,(50 reviews),David Schneider,David Schneider,Mixed,,"TITLE: Blockle
GENRE: Casual, Indie
DEVELOPER: David Schneider
PUBLISHER: David Schneider
RELEASE DATE: 8 May, 2017","8 May, 2017",Indie Casual +,
Crusaders: Thy Kingdom Come,,,,,,(29 reviews),NeocoreGames,Paradox Interactive,Mixed,,"TITLE: Crusaders: Thy Kingdom Come
GENRE: Strategy
DEVELOPER: NeocoreGames
PUBLISHER: Paradox Interactive
RELEASE DATE: 8 Oct, 2009","8 Oct, 2009",Strategy Medieval Singleplayer Historical +,
欢迎来到猫咪花园（Welcome To Cathouse）,,,,,,(23 reviews),一般通行社畜,一般通行社畜,Mixed,,"TITLE: 欢迎来到猫咪花园（Welcome To Cathouse）
GENRE: Casual, Indie, Strategy
DEVELOPER: 一般通行社畜
PUBLISHER: 一般通行社畜
RELEASE DATE: 27 Nov, 2019
EARLY ACCESS RELEASE DATE: 25 May, 2019","27 Nov, 2019",Casual Indie Strategy Sexual Content Nudity +,
Truffle Saga,,,,,,(23 reviews),Colossal Games,KISS ltd,Mixed,,"TITLE: Truffle Saga
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Colossal Games
PUBLISHER: KISS ltd
RELEASE DATE: 6 Jun, 2014","6 Jun, 2014",Casual Indie Action Adventure Puzzle +,
Found Horror Game 11.exe,Bundle info,,,,,(32 reviews),Yai Gameworks,Yai Gameworks,Mixed,,"TITLE: Found Horror Game 11.exe
GENRE: Adventure, Indie
DEVELOPER: Yai Gameworks
PUBLISHER: Yai Gameworks
RELEASE DATE: 16 Aug, 2018","16 Aug, 2018",Indie Adventure Gore Sexual Content Horror +,
DEUS VULT | Online VR sword fighting,,,,,,(132 reviews),raptor lab,raptor lab,Mixed,,"TITLE: DEUS VULT | Online VR sword fighting
GENRE: Action, Simulation, Early Access
DEVELOPER: raptor lab
PUBLISHER: raptor lab
RELEASE DATE: 26 May, 2017","26 May, 2017",Early Access Action Simulation Violent VR +,
Popap,,,,,,(13 reviews),aqwatron,aqwatron,Mixed,,"TITLE: Popap
GENRE: Casual
DEVELOPER: aqwatron
PUBLISHER: aqwatron
RELEASE DATE: 15 Mar, 2017","15 Mar, 2017",Casual +,
Premium Pool Arena,Bundle info,,,,,(75 reviews),Iceflake Studios,Paradox Interactive,Mixed,,"TITLE: Premium Pool Arena
GENRE: Casual, Sports
DEVELOPER: Iceflake Studios
PUBLISHER: Paradox Interactive
RELEASE DATE: 14 Apr, 2017","14 Apr, 2017",Casual Sports Pool +,
Reveal,,,,,,(19 reviews),Useless Machines,SA Industry,Mixed,,"TITLE: Reveal
GENRE: Adventure, Casual, Indie
DEVELOPER: Useless Machines
PUBLISHER: SA Industry
FRANCHISE: SA Industry
RELEASE DATE: 17 Jul, 2018","17 Jul, 2018",Adventure Casual Indie Puzzle First-Person +,
KONSAIRI,,,,,,(16 reviews),bitchunk,bitchunk,Mixed,,"TITLE: KONSAIRI
GENRE: Action, Adventure
DEVELOPER: bitchunk
PUBLISHER: bitchunk
RELEASE DATE: 27 Sep, 2020","27 Sep, 2020",Difficult 1990's 1980s Cute Adventure 2D +,9
STONE,Bundle info,,,,,(50 reviews),Convict Games,Convict Games,Mostly Positive,,"TITLE: STONE
GENRE: Adventure, Casual, Indie
DEVELOPER: Convict Games
PUBLISHER: Convict Games
RELEASE DATE: 21 Sep, 2018","21 Sep, 2018",Indie Casual Adventure Great Soundtrack +,
Alien Hallway 2,,,,,,(84 reviews),Sigma Team Inc.,Sigma Team Inc.,Mostly Positive,,"TITLE: Alien Hallway 2
GENRE: Action, Indie, Strategy
DEVELOPER: Sigma Team Inc.
PUBLISHER: Sigma Team Inc.
FRANCHISE: Alien Hallway
RELEASE DATE: 5 Oct, 2017","5 Oct, 2017",Strategy Action RTS Shooter Shoot 'Em Up +,
Bromeliad,,,,,,(18 reviews),Gorka Games Studios,Gorka Games Studios,Mixed,,"TITLE: Bromeliad
GENRE: Action, Adventure, Early Access
DEVELOPER: Gorka Games Studios
PUBLISHER: Gorka Games Studios
RELEASE DATE: 30 Jan, 2021
EARLY ACCESS RELEASE DATE: 30 Jan, 2021","30 Jan, 2021",Open World Survival Craft Action Survival FPS +,20
Theatre of War 2: Kursk 1943,Package info,,,,,(137 reviews),1C Entertainment,1C Entertainment,Mixed,,"TITLE: Theatre of War 2: Kursk 1943
GENRE: Simulation, Strategy
DEVELOPER: 1C Entertainment
PUBLISHER: 1C Entertainment
FRANCHISE: Theatre of War
RELEASE DATE: 9 Mar, 2010","9 Mar, 2010",Strategy Simulation World War II Tanks RTS +,
You Deserve,,,,,,(149 reviews),TGA Company LLC,TGA Company LLC,Mixed,,"TITLE: You Deserve
GENRE: Adventure, Indie
DEVELOPER: TGA Company LLC
PUBLISHER: TGA Company LLC
RELEASE DATE: 19 Aug, 2016","19 Aug, 2016",Indie Adventure Violent Horror +,
Trapped Dead: Lockdown,Bundle info,,,,,(74 reviews),Bigmoon Studios,Headup Games,Mixed,,"TITLE: Trapped Dead: Lockdown
GENRE: Action, Indie, RPG
DEVELOPER: Bigmoon Studios
PUBLISHER: Headup Games
RELEASE DATE: 20 Mar, 2015","20 Mar, 2015",RPG Action Indie Zombies +,
Torn,"27,99€",,,,,(120 reviews),Aspyr,Aspyr,Mixed,,"TITLE: Torn
GENRE: Adventure
DEVELOPER: Aspyr
PUBLISHER: Aspyr
FRANCHISE: Aspyr Media
RELEASE DATE: 28 Aug, 2018","28 Aug, 2018",Adventure VR Puzzle First-Person +,
Zombie Killing Simulator,,,,,,(57 reviews),Meka Games,Meka Games,Mixed,,"TITLE: Zombie Killing Simulator
GENRE: Action, Casual, Indie, Simulation, Strategy, Early Access
DEVELOPER: Meka Games
PUBLISHER: Meka Games
RELEASE DATE: 11 Feb, 2019
EARLY ACCESS RELEASE DATE: 11 Feb, 2019","11 Feb, 2019",Gore Action Simulation Violent Indie Mod +,
Run For Rum,,,,,,(14 reviews),Reload Game Studio,Strategy First,Mixed,,"TITLE: Run For Rum
GENRE: Strategy
DEVELOPER: Reload Game Studio
PUBLISHER: Strategy First
RELEASE DATE: 2 Jul, 2014","2 Jul, 2014",Strategy +,
S.C.A.R,,,,,,(27 reviews),Savage Studios,Audio Visual Enterprises S.A.,Mostly Positive,,"TITLE: S.C.A.R
GENRE: Action, Adventure, Casual, Indie, Simulation, Early Access
DEVELOPER: Savage Studios
PUBLISHER: Audio Visual Enterprises S.A.
RELEASE DATE: 15 Jul, 2020
EARLY ACCESS RELEASE DATE: 15 Jul, 2020","15 Jul, 2020",Action Indie Simulation Adventure FPS +,
