title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
DRAGON'S TOWER,,,,,,,Akira Abe,Akira Abe,,,"TITLE: DRAGON'S TOWER
GENRE: Action, Casual, Indie
DEVELOPER: Akira Abe
PUBLISHER: Akira Abe
RELEASE DATE: 24 Dec, 2020","24 Dec, 2020",Action Indie Casual 2D Platformer +,
打豹虎 Spider Derby,Bundle info,,,,,(1 reviews),Black Phoenix Studio,Black Phoenix Studio,1 user reviews,,"TITLE: 打豹虎 Spider Derby
GENRE: Casual, Indie, Simulation
DEVELOPER: Black Phoenix Studio
PUBLISHER: Black Phoenix Studio
FRANCHISE: Black Phoenix Studio
RELEASE DATE: 4 Jul, 2019","4 Jul, 2019",Indie Casual Simulation Management +,
ReallyGoodBattle,,,,,,(4 reviews),Boxhead Games,Boxhead Games,4 user reviews,,"TITLE: ReallyGoodBattle
GENRE: Action, Indie
DEVELOPER: Boxhead Games
PUBLISHER: Boxhead Games
RELEASE DATE: 15 Feb, 2018","15 Feb, 2018",Action Indie 4 Player Local Local Multiplayer +,
Shooting Star,,,,,,(8 reviews),Studio Inward,Studio Inward,8 user reviews,,"TITLE: Shooting Star
GENRE: Casual, Indie
DEVELOPER: Studio Inward
PUBLISHER: Studio Inward
RELEASE DATE: 8 Feb, 2020
EARLY ACCESS RELEASE DATE: 4 Nov, 2019","8 Feb, 2020",Casual Indie Runner Singleplayer Platformer +,
Xendless,,,,,,(1 reviews),Nicolas Peichel,Nicolas Peichel,1 user reviews,,"TITLE: Xendless
GENRE: Action, Indie
DEVELOPER: Nicolas Peichel
PUBLISHER: Nicolas Peichel
RELEASE DATE: 30 Jun, 2020","30 Jun, 2020",Action Arena Shooter Hero Shooter FPS PvE +,
Looney Rally,,,,,,(7 reviews),BeshevGames,BeshevGames,7 user reviews,,"TITLE: Looney Rally
GENRE: Indie, Racing, Sports
DEVELOPER: BeshevGames
PUBLISHER: BeshevGames
RELEASE DATE: 17 Feb, 2018","17 Feb, 2018",Racing Sports Indie +,
战术狂想3-枪战足球(Chimera of Tactics 3-Gun and Soccer),,,,,,(1 reviews),自由愉悦小黄猫(Free pleasure little yellow cat),自由愉悦小黄猫(Free pleasure little yellow cat),1 user reviews,,"TITLE: 战术狂想3-枪战足球(Chimera of Tactics 3-Gun and Soccer)
GENRE: Indie, Strategy, Early Access
DEVELOPER: 自由愉悦小黄猫(Free pleasure little yellow cat)
PUBLISHER: 自由愉悦小黄猫(Free pleasure little yellow cat)
FRANCHISE: 战术狂想(Chimera of Tactics)
RELEASE DATE: 23 Oct, 2018","23 Oct, 2018",Strategy Indie Early Access Turn-Based Combat +,
Where Is The Beach?,,,,,,(3 reviews),Red Panda Game Studio,Red Panda Game Studio,3 user reviews,,"TITLE: Where Is The Beach?
GENRE: Adventure, Casual, Indie, RPG
DEVELOPER: Red Panda Game Studio
PUBLISHER: Red Panda Game Studio
RELEASE DATE: 18 Jan, 2019","18 Jan, 2019",Casual Adventure Indie RPG +,
RoadRunner VR,"2,39€",,,,,,Hot Knife Digital Media,Hot Knife Digital Media,,,"TITLE: RoadRunner VR
GENRE: Adventure, Casual, Indie, Racing
DEVELOPER: Hot Knife Digital Media
PUBLISHER: Hot Knife Digital Media
RELEASE DATE: 12 Oct, 2017","12 Oct, 2017",Adventure Indie Casual Racing VR +,
Christmas Cats Revenge,Bundle info,,,,,(4 reviews),Anamik Majumdar,Anamik Majumdar,4 user reviews,,"TITLE: Christmas Cats Revenge
GENRE: Action, Casual, Indie
DEVELOPER: Anamik Majumdar
PUBLISHER: Anamik Majumdar
RELEASE DATE: 13 Dec, 2019","13 Dec, 2019",Action Indie Casual Gore Violent Cats +,
