#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
1,Grand Theft Auto V,"Apr 14, 2015",$14.8,N/A (N/A/96%),"20,000,000 .. 50,000,000",09:40 (02:41),Rockstar North,Rockstar Games
2,Portal 2,"Apr 18, 2011",$1.99,N/A (N/A/95%),"10,000,000 .. 20,000,000",00:31 (00:42),Valve,Valve
3,Divinity: Original Sin - Enhanced Edition,"Oct 27, 2015",$39.99,N/A (N/A/94%),"1,000,000 .. 2,000,000",01:27 (00:57),Larian Studios,Larian Studios
4,Half-Life: Alyx,"Mar 23, 2020",$59.99,N/A (N/A/93%),"2,000,000 .. 5,000,000",01:02 (00:56),Valve,Valve
5,Divinity: Original Sin 2 - Definitive Edition,"Sep 14, 2017",$44.99,N/A (N/A/93%),"5,000,000 .. 10,000,000",09:04 (06:33),Larian Studios,Larian Studios
6,Red Dead Redemption 2,"Dec 5, 2019",$59.99,N/A (N/A/93%),"2,000,000 .. 5,000,000",09:00 (07:58),Rockstar Games,Rockstar Games
7,Okami HD,"Dec 12, 2017",$19.99,N/A (N/A/92%),"200,000 .. 500,000",00:00 (00:00),"CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
8,The Longest Journey,"Nov 17, 2000",$9.99,N/A (N/A/91%),"200,000 .. 500,000",00:00 (00:00),Funcom,Funcom
9,Batman: Arkham City,"Nov 15, 2011",$4.99,N/A (N/A/91%),"20,000 .. 50,000",00:00 (00:00),Rocksteady Studios,Warner Bros. Interactive Entertainment
10,OPUS: Echo of Starsong,"Aug 31, 2021",$17.99,N/A (N/A/91%),"50,000 .. 100,000",00:00 (00:00),SIGONO INC.,SIGONO INC.
11,Mark of the Ninja,"Dec 1, 1986",$4.99,N/A (N/A/91%),"1,000,000 .. 2,000,000",00:00 (00:00),Klei Entertainment,Microsoft Studios
12,Batman: Arkham Asylum Game of the Year Edition,"Mar 26, 2010",$4.99,N/A (N/A/91%),"2,000,000 .. 5,000,000",00:01 (00:00),Rocksteady Studios,Warner Bros. Interactive Entertainment
13,Batman: Arkham City - Game of the Year Edition,"Sep 7, 2012",$4.99,N/A (N/A/91%),"2,000,000 .. 5,000,000",11:36 (07:27),Rocksteady Studios,Warner Bros. Interactive Entertainment
14,Dishonored,"Oct 8, 2012",$9.99,N/A (N/A/91%),"2,000,000 .. 5,000,000",01:35 (01:03),Arkane Studios,Bethesda Softworks
15,METAL GEAR SOLID V: THE PHANTOM PAIN,"Sep 1, 2015",$19.99,N/A (N/A/91%),"1,000,000 .. 2,000,000",10:56 (16:15),Konami Digital Entertainment,Konami Digital Entertainment
16,Mission: It's Complicated,"Feb 14, 2020",Free,N/A (N/A/91%),"0 .. 20,000",00:00 (00:00),Schell Games,Schell Games
17,Tadpole Treble,"Sep 2, 2016",$4.99,N/A (N/A/90%),"0 .. 20,000",00:00 (00:00),BitFinity,"BitFinity, Sunken Treasure Games"
18,Linelight,"Jan 30, 2017",$9.99,N/A (N/A/90%),"50,000 .. 100,000",00:00 (00:00),My Dog Zorro,My Dog Zorro
19,Chicory: A Colorful Tale,"Jun 10, 2021",$19.99,N/A (N/A/90%),"0 .. 20,000",00:00 (00:00),"Greg Lobanov, Alexis Dean-Jones, Lena Raine, Madeline Berger, A Shell in the Pit",Finji
20,Bayonetta,"Apr 11, 2017",$19.99,N/A (N/A/90%),"1,000,000 .. 2,000,000",00:41 (00:13),PlatinumGames,SEGA
21,Brothers - A Tale of Two Sons,"Sep 3, 2013",$14.99,N/A (N/A/90%),"1,000,000 .. 2,000,000",02:48 (00:56),Starbreeze Studios AB,505 Games
22,Grand Theft Auto IV: Complete Edition,TBD,N/A,N/A (N/A/90%),"0 .. 20,000",00:00 (00:00),"Rockstar North, Rockstar Toronto",Rockstar Games
23,Grand Theft Auto IV: The Complete Edition,"Mar 24, 2020",$19.99,N/A (N/A/90%),"2,000,000 .. 5,000,000",05:43 (06:08),"Rockstar North, Rockstar Toronto",Rockstar Games
24,The Curse of Monkey Island,"Mar 22, 2018",$6.99,N/A (N/A/89%),"100,000 .. 200,000",00:00 (00:00),LucasArts,"LucasArts, Lucasfilm, Disney"
25,Prince of Persia: The Sands of Time,"Nov 21, 2008",$9.99,N/A (N/A/89%),"200,000 .. 500,000",00:00 (00:00),Kudosoft,Ubisoft
26,Psychonauts 2,"Aug 24, 2021",$59.99,N/A (N/A/89%),"100,000 .. 200,000",00:00 (00:00),Double Fine Productions,Xbox Game Studios
27,There Is No Game: Wrong Dimension,"Aug 6, 2020",$12.99,N/A (N/A/89%),"200,000 .. 500,000",00:00 (00:00),Draw Me A Pixel,Draw Me A Pixel
28,Return of the Obra Dinn,"Oct 18, 2018",$19.99,N/A (N/A/89%),"200,000 .. 500,000",00:00 (00:00),Lucas Pope,3909
29,What Remains of Edith Finch,"Apr 24, 2017",$19.99,N/A (N/A/89%),"500,000 .. 1,000,000",00:00 (00:00),Giant Sparrow,Annapurna Interactive
30,Star Control III,"Oct 19, 2017",$3.99,N/A (N/A/89%),"100,000 .. 200,000",00:00 (00:00),Legend Entertainment,Stardock Entertainment
31,Owlboy,"Nov 1, 2016",$24.99,N/A (N/A/88%),"200,000 .. 500,000",00:00 (00:00),D-Pad Studio,D-Pad Studio
32,Mafia,"Aug 28, 2002",$14.99,N/A (N/A/88%),"200,000 .. 500,000",00:01 (00:00),Illusion Softworks,2K
33,Guacamelee! Gold Edition,"Aug 8, 2013",$14.99,N/A (N/A/88%),"500,000 .. 1,000,000",00:00 (00:00),DrinkBox Studios,DrinkBox Studios
34,Night in the Woods,"Feb 21, 2017",$19.99,N/A (N/A/88%),"200,000 .. 500,000",07:52 (02:37),Infinite Fall,Finji
35,Assassin’s Creed Brotherhood,"Mar 22, 2011",$6.59,N/A (N/A/88%),"1,000,000 .. 2,000,000",00:00 (00:00),Ubisoft Montreal,Ubisoft
36,Torchlight II,"Sep 20, 2012",$2.99,N/A (N/A/88%),"2,000,000 .. 5,000,000",00:07 (00:02),Runic Games,Runic Games
37,The Stanley Parable,"Oct 17, 2013",$14.99,N/A (N/A/88%),"2,000,000 .. 5,000,000",00:00 (00:00),Galactic Cafe,Galactic Cafe
38,LIMBO,"Aug 2, 2011",$9.99,N/A (N/A/88%),"2,000,000 .. 5,000,000",00:00 (00:00),Playdead,Playdead
39,Celeste,"Jan 25, 2018",$19.99,N/A (N/A/88%),"1,000,000 .. 2,000,000",00:09 (00:03),"Extremely OK Games, Ltd.",Matt Makes Games Inc.
40,It Takes Two,"Mar 25, 2021",$29.99,N/A (N/A/88%),"1,000,000 .. 2,000,000",01:51 (02:09),Hazelight,Electronic Arts
41,Far Cry 3,"Dec 4, 2012",$19.99,N/A (N/A/88%),"2,000,000 .. 5,000,000",10:31 (10:10),"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft
42,Sekiro: Shadows Die Twice - GOTY Edition,"Mar 21, 2019",$59.99,N/A (N/A/88%),"5,000,000 .. 10,000,000",03:05 (02:42),FromSoftware,"Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)"
43,Apex Legends,"Nov 4, 2020",Free,N/A (N/A/88%),"20,000,000 .. 50,000,000",09:30 (04:02),Respawn Entertainment,Electronic Arts
44,Shogo: Mobile Armor Division,"Apr 14, 2017",$9.99,N/A (N/A/88%),"50,000 .. 100,000",00:00 (00:00),Monolith Productions,Interplay Entertainment Corp.
45,Lacuna – A Sci-Fi Noir Adventure,"May 20, 2021",$15.99,N/A (N/A/88%),"200,000 .. 500,000",00:00 (00:00),DigiTales Interactive,"Assemble Entertainment, WhisperGames, Mayflower Entertainment"
46,Thirty Flights of Loving,"Aug 20, 2012",$4.99,N/A (N/A/88%),"200,000 .. 500,000",00:00 (00:00),Blendo Games,Blendo Games
47,Hellblade: Senua's Sacrifice VR Edition,"Jul 31, 2018",$29.99,N/A (N/A/87%),"50,000 .. 100,000",00:00 (00:00),Ninja Theory,Ninja Theory
48,HEX: Shards of Fate,"Apr 19, 2016",N/A,N/A (N/A/87%),"200,000 .. 500,000",00:00 (00:00),Hex Entertainment,Hex Entertainment
49,Unavowed,"Aug 8, 2018",$14.99,N/A (N/A/87%),"100,000 .. 200,000",00:00 (00:00),Wadjet Eye Games,Wadjet Eye Games
50,Year Walk,"Mar 6, 2014",$5.99,N/A (N/A/87%),"100,000 .. 200,000",00:00 (00:00),Simogo,Simogo
51,Monkey Island 2 Special Edition: LeChuck’s Revenge,"Jul 7, 2010",$9.99,N/A (N/A/87%),"200,000 .. 500,000",00:00 (00:00),LucasArts,"LucasArts, Lucasfilm, Disney"
52,Sunless Skies: Sovereign Edition,"Jan 31, 2019",$24.99,N/A (N/A/87%),"200,000 .. 500,000",00:00 (00:00),Failbetter Games,Failbetter Games
53,Until You Fall,"Oct 27, 2020",$24.99,N/A (N/A/87%),"100,000 .. 200,000",00:00 (00:00),Schell Games,Schell Games
54,Iconoclasts,"Jan 23, 2018",$5.99,N/A (N/A/87%),"200,000 .. 500,000",00:00 (00:00),Joakim Sandberg,"Bifrost Entertainment, DANGEN Entertainment, Gamera Game, INTRAGAMES CO., LTD."
55,Shadowrun: Dragonfall - Director's Cut,"Sep 18, 2014",$14.99,N/A (N/A/87%),"500,000 .. 1,000,000",00:00 (00:00),Harebrained Schemes,Paradox Interactive
56,West of Loathing,"Aug 10, 2017",$10.99,N/A (N/A/87%),"200,000 .. 500,000",08:35 (02:51),Asymmetric,Asymmetric
57,The Swapper,"May 30, 2013",$14.99,N/A (N/A/87%),"500,000 .. 1,000,000",00:00 (00:00),"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",Facepalm Games
58,Wasteland 2: Director's Cut,"Sep 18, 2014",$29.99,N/A (N/A/87%),"500,000 .. 1,000,000",00:00 (00:00),inXile Entertainment,inXile Entertainment
