#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
1,Disco Elysium - The Final Cut,"Oct 15, 2019",$21.99,N/A (N/A/97%),"1,000,000 .. 2,000,000",03:36 (03:36),ZA/UM,ZA/UM
2,BioShock,"Aug 21, 2007",$19.99,N/A (N/A/96%),"2,000,000 .. 5,000,000",00:00 (00:00),"2K Boston, 2K Australia",2K
3,The Elder Scrolls IV: Oblivion Game of the Year Edition,"Jun 16, 2009",$14.99,N/A (N/A/94%),"1,000,000 .. 2,000,000",00:03 (00:02),Bethesda Game Studios,Bethesda Softworks
4,The Elder Scrolls V: Skyrim,"Nov 10, 2011",$19.99,N/A (N/A/94%),"5,000,000 .. 10,000,000",05:14 (06:58),Bethesda Game Studios,Bethesda Softworks
5,Mass Effect 2 (2010),"Jan 26, 2010",$19.99,N/A (N/A/94%),"1,000,000 .. 2,000,000",00:00 (00:00),BioWare,Electronic Arts
6,Mass Effect 2 Digital Deluxe Edition,"Jan 27, 2010",$29.99,N/A (N/A/94%),"1,000,000 .. 2,000,000",00:00 (00:00),BioWare,Electronic Arts
7,Divinity: Original Sin - Enhanced Edition,"Oct 27, 2015",$39.99,N/A (N/A/94%),"1,000,000 .. 2,000,000",01:27 (00:57),Larian Studios,Larian Studios
8,Divinity: Original Sin 2 - Definitive Edition,"Sep 14, 2017",$44.99,N/A (N/A/93%),"5,000,000 .. 10,000,000",09:04 (06:33),Larian Studios,Larian Studios
9,Hades,"Sep 17, 2020",$24.99,N/A (N/A/93%),"2,000,000 .. 5,000,000",04:42 (04:17),Supergiant Games,Supergiant Games
10,The Witcher 3: Wild Hunt,"May 18, 2015",$39.99,N/A (N/A/93%),"10,000,000 .. 20,000,000",10:17 (04:05),CD PROJEKT RED,CD PROJEKT RED
11,Undertale,"Sep 15, 2015",$9.99,N/A (N/A/92%),"2,000,000 .. 5,000,000",01:29 (00:59),tobyfox,tobyfox
12,System Shock 2,"May 10, 2013",$9.99,N/A (N/A/92%),"500,000 .. 1,000,000",00:00 (00:00),"Irrational Games, Looking Glass Studios",Nightdive Studios
13,The Longest Journey,"Nov 17, 2000",$9.99,N/A (N/A/91%),"200,000 .. 500,000",00:00 (00:00),Funcom,Funcom
14,Dragon Age: Origins,"Nov 5, 2009",$19.99,N/A (N/A/91%),"500,000 .. 1,000,000",00:00 (00:00),BioWare,Electronic Arts
15,Fallout 3,"Oct 28, 2008",$2.99,N/A (N/A/91%),"500,000 .. 1,000,000",00:00 (00:00),Bethesda Game Studios,Bethesda Softworks
16,Dragon Age: Origins - Ultimate Edition,"Oct 26, 2010",$29.99,N/A (N/A/91%),"1,000,000 .. 2,000,000",00:00 (00:00),BioWare,Electronic Arts
17,Deus Ex: Human Revolution - Director's Cut,"Oct 25, 2013",$19.99,N/A (N/A/91%),"1,000,000 .. 2,000,000",00:00 (00:00),Eidos Montreal,Square Enix
18,Fallout 3: Game of the Year Edition,"Dec 17, 2009",$7.99,N/A (N/A/91%),"1,000,000 .. 2,000,000",00:02 (00:01),Bethesda Game Studios,Bethesda Softworks
19,DARK SOULS II,"Apr 25, 2014",$39.99,N/A (N/A/91%),"1,000,000 .. 2,000,000",00:03 (00:01),"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc"
20,Crusader Kings III,"Sep 1, 2020",$49.99,N/A (N/A/91%),"2,000,000 .. 5,000,000",07:25 (08:21),Paradox Development Studio,Paradox Interactive
21,Freedom Force,"May 29, 2009",$4.99,N/A (N/A/90%),"200,000 .. 500,000",00:00 (00:00),Irrational Games,2K
22,Chicory: A Colorful Tale,"Jun 10, 2021",$19.99,N/A (N/A/90%),"0 .. 20,000",00:00 (00:00),"Greg Lobanov, Alexis Dean-Jones, Lena Raine, Madeline Berger, A Shell in the Pit",Finji
23,Into the Breach,"Feb 27, 2018",$3.74,N/A (N/A/90%),"500,000 .. 1,000,000",01:48 (00:36),Subset Games,Subset Games
24,Guild Wars Game of the Year Edition,"Apr 22, 2009",$19.99,N/A (N/A/89%),"0 .. 20,000",00:00 (00:00),ArenaNet®,NCSOFT
25,Mass Effect 3 N7 Digital Deluxe Edition (2012),"Mar 6, 2012",$29.99,N/A (N/A/89%),"500,000 .. 1,000,000",00:00 (00:00),BioWare,Electronic Arts
26,Fallout: A Post Nuclear Role Playing Game,"Sep 30, 1997",$2.99,N/A (N/A/89%),"2,000,000 .. 5,000,000",00:00 (00:00),Interplay Inc.,Bethesda Softworks
27,Nuclear Throne,"Dec 5, 2015",$11.99,N/A (N/A/89%),"500,000 .. 1,000,000",00:00 (00:00),Vlambeer,Vlambeer
28,Mass Effect (2007),"Dec 19, 2008",$19.99,N/A (N/A/89%),"1,000,000 .. 2,000,000",00:00 (00:00),BioWare,Electronic Arts
29,The Elder Scrolls III: Morrowind Game of the Year Edition,"Jun 16, 2009",$14.99,N/A (N/A/89%),"1,000,000 .. 2,000,000",00:00 (00:00),Bethesda Game Studios,Bethesda Softworks
30,Pillars of Eternity,"Mar 26, 2015",$29.99,N/A (N/A/89%),"1,000,000 .. 2,000,000",00:00 (00:00),Obsidian Entertainment,Paradox Interactive
