#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
1,Thief Gold,"May 22, 2012",$6.99,N/A (N/A/92%),"500,000 .. 1,000,000",00:00 (00:00),Looking Glass Studios,Square Enix
2,Out of the Park Baseball 17,"Mar 22, 2016",$19.99,N/A (N/A/92%),"20,000 .. 50,000",00:00 (00:00),Out of the Park Developments,Out of the Park Developments
3,Microsoft Flight Simulator,"Aug 17, 2020",$59.99,N/A (N/A/91%),"200,000 .. 500,000",06:10 (04:06),Asobo Studio,Xbox Game Studios
4,Crusader Kings III,"Sep 1, 2020",$49.99,N/A (N/A/91%),"2,000,000 .. 5,000,000",07:25 (08:21),Paradox Development Studio,Paradox Interactive
5,Factorio,"Aug 14, 2020",$30,N/A (N/A/91%),"2,000,000 .. 5,000,000",12:27 (13:05),Wube Software LTD.,Wube Software LTD.
6,Silent Hunter III,"Jun 13, 2008",$9.99,N/A (N/A/90%),"100,000 .. 200,000",00:00 (00:00),Ubisoft,Ubisoft
7,Opus Magnum,"Dec 7, 2017",$9.99,N/A (N/A/90%),"200,000 .. 500,000",06:36 (02:12),Zachtronics,Zachtronics
8,Into the Breach,"Feb 27, 2018",$3.74,N/A (N/A/90%),"500,000 .. 1,000,000",01:48 (00:36),Subset Games,Subset Games
9,Pinball FX3,"Sep 26, 2017",$23.97,N/A (N/A/89%),"500,000 .. 1,000,000",00:00 (00:00),Zen Studios,Zen Studios
10,F1 2017,"Aug 24, 2017",$9.99,N/A (N/A/89%),"200,000 .. 500,000",00:00 (00:00),"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
11,Rise of Nations: Extended Edition,"Jun 12, 2014",$19.99,N/A (N/A/89%),"1,000,000 .. 2,000,000",00:00 (00:00),"SkyBox Labs, Big Huge Games",Xbox Game Studios
12,Stardew Valley,"Feb 26, 2016",$14.99,N/A (N/A/89%),"10,000,000 .. 20,000,000",10:13 (03:32),ConcernedApe,ConcernedApe
13,Unity of Command II,"Nov 12, 2019",$29.99,N/A (N/A/88%),"20,000 .. 50,000",00:00 (00:00),"2x2 Games, Croteam",2x2 Games
14,Kerbal Space Program,"Apr 27, 2015",$39.99,N/A (N/A/88%),"2,000,000 .. 5,000,000",01:16 (01:00),Squad,Private Division
15,Thief II: The Metal Age,"May 22, 2012",$6.99,N/A (N/A/87%),"500,000 .. 1,000,000",00:00 (00:00),Looking Glass Studios,Square Enix
16,NBA 2K18,"Sep 14, 2017",$59.99,N/A (N/A/87%),"1,000,000 .. 2,000,000",00:00 (00:00),Visual Concepts,2K
