#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
1,Out of the Park Baseball 17,"Mar 22, 2016",$19.99,N/A (N/A/92%),"20,000 .. 50,000",00:00 (00:00),Out of the Park Developments,Out of the Park Developments
2,NBA 2K17,"Sep 20, 2016",N/A,N/A (N/A/90%),"500,000 .. 1,000,000",00:00 (00:00),Visual Concepts,2K
3,F1 2017,"Aug 24, 2017",$9.99,N/A (N/A/89%),"200,000 .. 500,000",00:00 (00:00),"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
4,Ragnarock,"Jul 15, 2021",$24.99,N/A (N/A/87%),"20,000 .. 50,000",00:00 (00:00),WanadevStudio,WanadevStudio
5,NBA 2K18,"Sep 14, 2017",$59.99,N/A (N/A/87%),"1,000,000 .. 2,000,000",00:00 (00:00),Visual Concepts,2K
6,F1 2019,"Jun 27, 2019",$29.99,N/A (N/A/87%),"500,000 .. 1,000,000",00:50 (00:17),Codemasters,"Codemasters, Electronic Arts"
7,Out of the Park Baseball 18,"Mar 24, 2017",$19.99,N/A (N/A/86%),"50,000 .. 100,000",00:00 (00:00),Out of the Park Developments,Out of the Park Developments
8,F1 2016,"Aug 18, 2016",$9.99,N/A (N/A/86%),"200,000 .. 500,000",00:00 (00:00),"Codemasters, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac), Electronic Arts"
9,F1 2021,"Jul 15, 2021",$59.99,N/A (N/A/86%),"200,000 .. 500,000",13:22 (07:51),Codemasters,Electronic Arts
10,Football Manager 2019,"Nov 2, 2018",N/A,N/A (N/A/86%),"1,000,000 .. 2,000,000",00:00 (00:00),Sports Interactive,SEGA
11,DiRT Rally,"Dec 7, 2015",$14.99,N/A (N/A/86%),"2,000,000 .. 5,000,000",00:00 (00:00),"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts"
12,Rocket League,"Jul 7, 2015",N/A,N/A (N/A/86%),"10,000,000 .. 20,000,000",09:23 (05:11),Psyonix LLC,Psyonix LLC
13,Assetto Corsa,"Dec 19, 2014",$19.99,N/A (N/A/85%),"1,000,000 .. 2,000,000",03:37 (01:58),Kunos Simulazioni,Kunos Simulazioni
14,GT Legends,"Sep 26, 2005",$7.99,N/A (N/A/84%),"50,000 .. 100,000",00:00 (00:00),SimBin Studios AB,SimBin
15,Knockout League - Arcade VR Boxing,"Feb 13, 2018",$19.99,N/A (N/A/84%),"20,000 .. 50,000",00:00 (00:00),Grab Games,Grab Games
16,Sprint Vector,"Feb 8, 2018",$29.99,N/A (N/A/84%),"20,000 .. 50,000",00:00 (00:00),Survios,Survios
17,DiRT Rally 2.0,"Feb 25, 2019",$19.99,N/A (N/A/84%),"1,000,000 .. 2,000,000",01:24 (01:50),Codemasters,"Codemasters, Electronic Arts"
18,Football Manager 2020,"Nov 19, 2019",N/A,N/A (N/A/84%),"5,000,000 .. 10,000,000",00:00 (00:00),Sports Interactive,SEGA
19,SpeedRunners,"Apr 19, 2016",$14.99,N/A (N/A/84%),"2,000,000 .. 5,000,000",00:00 (00:00),DoubleDutch Games,tinyBuild
20,F1 2011,"Jun 1, 1985",N/A,N/A (N/A/83%),"50,000 .. 100,000",00:00 (00:00),Codemasters Birmingham,Codemasters
21,Super Mega Baseball 2,"Apr 30, 2018",$19.99,N/A (N/A/83%),"100,000 .. 200,000",00:00 (00:00),Metalhead Software Inc.,Electronic Arts
22,F1 2018,"Aug 23, 2018",$19.99,N/A (N/A/83%),"200,000 .. 500,000",14:41 (04:53),Codemasters,"Codemasters, Electronic Arts"
23,Project CARS,"Mar 15, 2015",$14.99,N/A (N/A/83%),"1,000,000 .. 2,000,000",00:00 (00:00),Slightly Mad Studios,"Codemasters, Slightly Mad Studios, Electronic Arts"
24,VIDEOBALL,"Jul 12, 2016",$9.99,N/A (N/A/82%),"0 .. 20,000",00:00 (00:00),"Action Button Entertainment, LLC",Iron Galaxy
25,OlliOlli2: Welcome to Olliwood,"Aug 11, 2015",$14.99,N/A (N/A/82%),"50,000 .. 100,000",00:00 (00:00),Roll7,Devolver Digital
26,The Ramp,"Aug 3, 2021",$5.99,N/A (N/A/82%),"0 .. 20,000",00:00 (00:00),Hyperparadise,Hyperparadise
27,Monday Night Combat,"Jan 24, 2011",$4.99,N/A (N/A/82%),"200,000 .. 500,000",00:00 (00:00),Uber Entertainment,Uber Entertainment
28,Lethal League,"Aug 27, 2014",$13.99,N/A (N/A/82%),"500,000 .. 1,000,000",00:00 (00:00),Team Reptile,Team Reptile
29,TEKKEN 7,"Jun 1, 2017",$39.99,N/A (N/A/82%),"2,000,000 .. 5,000,000",07:42 (07:26),BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment
30,AaAaAA!!! - A Reckless Disregard for Gravity,"Sep 3, 2009",$9.99,N/A (N/A/81%),"100,000 .. 200,000",00:00 (00:00),"Dejobaan Games, LLC","Dejobaan Games, LLC"
31,TrackMania² Canyon,"Feb 27, 2013",$19.99,N/A (N/A/81%),"100,000 .. 200,000",00:00 (00:00),Nadeo,Ubisoft
32,PRO EVOLUTION SOCCER 2018,"Sep 13, 2017",N/A,N/A (N/A/81%),"200,000 .. 500,000",00:00 (00:00),"Konami Digital Entertainment Co., Ltd.",Konami Digital Entertainment
33,Nidhogg,"Jan 13, 2014",$9.99,N/A (N/A/81%),"500,000 .. 1,000,000",00:00 (00:00),Messhof,Messhof
34,Motorsport Manager,"Nov 9, 2016",$34.99,N/A (N/A/81%),"500,000 .. 1,000,000",00:46 (00:30),Playsport Games,SEGA
35,Wreckfest,"Jun 14, 2018",$29.99,N/A (N/A/81%),"1,000,000 .. 2,000,000",00:39 (00:25),Bugbear,THQ Nordic
36,Bowl Bound College Football,"Sep 3, 2015",$19.99,N/A (N/A/80%),"20,000 .. 50,000",00:00 (00:00),Grey Dog Software,Viva Meda
