#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
1,Battle Realms: Zen Edition,"Dec 3, 2019",$9.99,N/A (N/A/82%),"100,000 .. 200,000",00:00 (00:00),Ed Del Castillo,Ed Del Castillo
2,WORLD OF HORROR,"Feb 20, 2020",$14.99,N/A (N/A/80%),"100,000 .. 200,000",00:00 (00:00),panstasz,Ysbryd Games
3,Vietcong,"May 25, 2018",$4.99,N/A (N/A/74%),"0 .. 20,000",00:00 (00:00),Studio-Space RA,Studio-Space RA
4,WWII Online,"Jun 6, 2001",Free,N/A (N/A/73%),"500,000 .. 1,000,000",00:00 (00:00),"Cornered Rat Software, LLC.","Playnet, Inc."
5,World of Warplanes,"Sep 12, 2018",Free,N/A (N/A/69%),"200,000 .. 500,000",00:00 (00:00),Wargaming Group Limited,Wargaming Group Limited
6,Paradise Lost: FPS Cosmic Horror Game,"Jan 17, 2018",$2.99,N/A (N/A/58%),"0 .. 20,000",00:00 (00:00),Juan Pedraza,Juan Pedraza
7,The Final Stand,"Jul 16, 2015",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Hella Games Entertainment,Steam
8,Gritty Bit VR,"May 26, 2017",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),OD.,OD.
9,Daath Origins,"Sep 14, 2017",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),"BLACK LODGE GAMES, LLC","BLACK LODGE GAMES, LLC"
10,WakeUp!,"Aug 3, 2017",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Upercon Studio,Upercon Studio
11,Conference in VR,"Dec 22, 2017",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Virtual World Arcade,Virtual World Arcade
12,Gummy Goo Clean Up,"Apr 20, 2018",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Gummy Studios,Gummy Studios
13,Spheroid,"May 16, 2018",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Fennecai Fox Creative,Fennecai Fox Creative
14,Spiral Clicker,"Oct 24, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Changer,Changer
15,Zether,"Nov 12, 2018",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),"NaturalPad, Maëlle Beuret, Marie Legrand, Virgile Paultre, Gaeel Bradshaw",NaturalPad
16,Second Chance,"Nov 22, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),"COMAN, Eliana-Asato",C&E
17,The Last Sovereign,"Feb 15, 2019",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Sierra Lee,Sierra Lee
18,Vip Em Up - The action movies stars beat em up Ep.0 ( beta ),"Dec 28, 2018",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Towerfilm,Towerfilm
19,The Last Piece of Bacon,"Aug 3, 2019",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),LisaDanceGames,
20,Pact with a witch,"Jun 25, 2019",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),jonnymelabo,jonnymelabo
21,liquivid Icon Effects,"Jun 18, 2019",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),nullplussoftware,nullplussoftware
22,TRPG in VR Space,"Aug 20, 2019",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Last Resort LLC.,Last Resort LLC.
23,Dimensions VIP,"Feb 6, 2020",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),MOBSoft Funstuff Inc.,MOBSoft Funstuff Inc.
24,Hard Love - Darkest Desire,"Oct 31, 2019",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),MinitorMazerV,MMV-DeepBride
25,ViRo Playspace,"Sep 13, 2019",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Virtual Romance LLC,Virtual Romance LLC
26,Breeders of the Nephelym: Alpha,"Oct 18, 2019",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),DerelictHelmsman,DerelictHelmsman
27,TCVR,"Jun 19, 2020",$6.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),"TechieChickVR, LLC","TechieChickVR, LLC"
28,Rage of the Wasteland,"Oct 6, 2020",$4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Dance Lisa Games,
29,7 summer days: Youth sky,"Jul 29, 2020",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Sanati Tales,Sanati Tales
30,百詰怪軼與金魚,"Jul 28, 2020",$13.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),kolorogame,kolorogame
31,Reflect-on,"Nov 29, 2020",$9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Mark-on,Mark-on
32,Bikini Island Challenge,"Jan 5, 2021",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Instantiated Entertainment,Instantiated Entertainment
33,UOS Prototype,"Oct 12, 2020",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),ultranet.org,ultranet.org
34,DwarfHeim: Friend-pass,"Oct 22, 2020",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),Pineleaf Studio,Merge Games
35,Shuuji,"Nov 2, 2020",$9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Yuuki Ishimaru,Yuuki Ishimaru
36,Dragon Rider,"Nov 2, 2015",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),"S.F. Bay Studios, Inc.","S.F. Bay Studios, Inc."
