#,title,releasedate,price,Score_rank,owners,players,playtime_median,developers,publishers
1,PUBG: BATTLEGROUNDS,"Dec 21, 2017",$29.99,N/A (N/A),"50,000,000 .. 100,000,000",6.23%,13:26 (06:09),"KRAFTON, Inc.","KRAFTON, Inc."
2,Wallpaper Engine,Nov 2018,$3.99,N/A (N/A),"10,000,000 .. 20,000,000",25.5%,01:45 (00:12),Wallpaper Engine Team,Wallpaper Engine Team
3,Rust,"Feb 8, 2018",$39.99,N/A (N/A/69%),"20,000,000 .. 50,000,000",7.85%,17:47 (05:28),Facepunch Studios,Facepunch Studios
4,Valheim,"Feb 2, 2021",$19.99,N/A (N/A),"10,000,000 .. 20,000,000",10.91%,14:14 (08:30),Iron Gate AB,Coffee Stain Publishing
5,Brawlhalla,"Oct 17, 2017",Free,N/A (N/A),"20,000,000 .. 50,000,000",5.56%,04:10 (01:37),Blue Mammoth Games,Ubisoft
6,Arma 3,"Sep 12, 2013",$29.99,N/A (N/A/74%),"5,000,000 .. 10,000,000",4.55%,17:55 (12:40),Bohemia Interactive,Bohemia Interactive
7,ARK: Survival Evolved,"Aug 27, 2017",$29.99,N/A (N/A/70%),"10,000,000 .. 20,000,000",3.62%,19:24 (14:54),"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard
8,Don't Starve Together,"Apr 21, 2016",$14.99,N/A (N/A/83%),"10,000,000 .. 20,000,000",3.75%,03:32 (01:09),Klei Entertainment,Klei Entertainment
9,Grim Dawn,"Feb 25, 2016",$24.99,N/A (N/A/83%),"5,000,000 .. 10,000,000",4.2%,22:47 (19:34),Crate Entertainment,Crate Entertainment
10,RimWorld,"Oct 17, 2018",$34.99,N/A (N/A/87%),"2,000,000 .. 5,000,000",11.11%,11:41 (13:21),Ludeon Studios,Ludeon Studios
11,Tabletop Simulator,"Jun 5, 2015",$19.99,N/A (N/A),"2,000,000 .. 5,000,000",3.94%,05:11 (04:03),Berserk Games,Berserk Games
12,Hell Let Loose,"Jul 27, 2021",$39.99,N/A (N/A/79%),"1,000,000 .. 2,000,000",16.9%,08:54 (01:47),Black Matter Pty Ltd,Team17
13,Subnautica: Below Zero,"May 13, 2021",$29.99,N/A (N/A),"1,000,000 .. 2,000,000",5.48%,08:33 (05:41),Unknown Worlds Entertainment,Unknown Worlds Entertainment
14,Assetto Corsa,"Dec 19, 2014",$19.99,N/A (N/A/85%),"1,000,000 .. 2,000,000",13.46%,03:37 (01:58),Kunos Simulazioni,Kunos Simulazioni
15,World of Warships,"Nov 15, 2017",Free,N/A (N/A/81%),"10,000,000 .. 20,000,000",1.09%,04:11 (00:55),Wargaming Group Limited,Wargaming Group Limited
16,Totally Accurate Battle Simulator,"Apr 1, 2021",$19.99,N/A (N/A),"2,000,000 .. 5,000,000",7.5%,03:36 (00:58),Landfall,Landfall
17,Risk of Rain 2,"Aug 11, 2020",$24.99,N/A (N/A/85%),"5,000,000 .. 10,000,000",4.86%,02:45 (02:26),Hopoo Games,Gearbox Publishing
18,ATLAS,"Dec 22, 2018",$29.99,N/A (N/A),"1,000,000 .. 2,000,000",4.17%,14:42 (09:38),"Grapeshot Games, Instinct Games",Grapeshot Games
19,Golf With Your Friends,"May 19, 2020",$14.99,N/A (N/A),"2,000,000 .. 5,000,000",2.92%,01:55 (00:48),Blacklight Interactive,Team17
20,Hunt: Showdown,"Aug 27, 2019",$39.99,N/A (N/A/81%),"2,000,000 .. 5,000,000",11.38%,10:12 (06:12),Crytek,Crytek
21,Beat Saber,"May 21, 2019",$29.99,N/A (N/A/93%),"2,000,000 .. 5,000,000",13.4%,02:06 (01:36),Beat Games,Beat Games
22,Green Hell,"Sep 5, 2019",$24.99,N/A (N/A/78%),"1,000,000 .. 2,000,000",5.88%,08:00 (07:55),Creepy Jar,Creepy Jar
23,The Long Dark,"Aug 1, 2017",$34.99,N/A (N/A),"2,000,000 .. 5,000,000",3.32%,10:08 (12:47),Hinterland Studio Inc.,Hinterland Studio Inc.
