#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
1,Team Fortress 2,"Oct 10, 2007",Free,N/A (N/A/92%),"50,000,000 .. 100,000,000",19:51 (08:30),Valve,Valve
2,Dota 2,"Jul 9, 2013",Free,N/A (N/A/90%),"100,000,000 .. 200,000,000",26:35 (14:49),Valve,Valve
3,EVE Online,"May 6, 2003",Free,N/A (N/A/88%),"2,000,000 .. 5,000,000",11:50 (16:37),CCP,CCP
4,Apex Legends,"Nov 4, 2020",Free,N/A (N/A/88%),"20,000,000 .. 50,000,000",09:30 (04:02),Respawn Entertainment,Electronic Arts
5,HEX: Shards of Fate,"Apr 19, 2016",N/A,N/A (N/A/87%),"200,000 .. 500,000",00:00 (00:00),Hex Entertainment,Hex Entertainment
6,Orcs Must Die! Unchained,"Apr 19, 2017",N/A,N/A (N/A/87%),"1,000,000 .. 2,000,000",00:00 (00:00),Robot Entertainment,Robot Entertainment
7,Microsoft Allegiance,"Sep 29, 2017",Free,N/A (N/A/86%),"50,000 .. 100,000",00:00 (00:00),Microsoft Game Studios,ZapHop Games
8,Tribes: Ascend,"Jun 27, 2012",Free,N/A (N/A/86%),"1,000,000 .. 2,000,000",00:00 (00:00),Hi-Rez Studios,Hi-Rez Studios
9,The Lord of the Rings Online,"Jun 6, 2012",Free,N/A (N/A/86%),"2,000,000 .. 5,000,000",03:14 (02:09),"Standing Stone Games, LLC","Standing Stone Games, LLC"
10,Path of Exile,"Oct 23, 2013",Free,N/A (N/A/86%),"20,000,000 .. 50,000,000",01:23 (02:32),Grinding Gear Games,Grinding Gear Games
11,STAR WARS: The Old Republic,"Dec 20, 2011",Free,N/A (N/A/85%),"2,000,000 .. 5,000,000",04:04 (02:42),BioWare,Electronic Arts
12,Battlerite,"Nov 8, 2017",Free,N/A (N/A/85%),"2,000,000 .. 5,000,000",00:42 (00:35),Stunlock Studios,Stunlock Studios
13,RIFT,"Oct 24, 2013",Free,N/A (N/A/84%),"2,000,000 .. 5,000,000",00:00 (00:00),gamigo US Inc.,gamigo US Inc.
14,PlanetSide 2,"Nov 20, 2012",Free,N/A (N/A/84%),"5,000,000 .. 10,000,000",03:45 (01:15),Rogue Planet Games,Daybreak Game Company
15,EverQuest II,"Dec 7, 2011",Free,N/A (N/A/83%),"500,000 .. 1,000,000",00:00 (00:00),Darkpaw Games,Daybreak Game Company
16,SMITE,"Sep 8, 2015",Free,N/A (N/A/83%),"10,000,000 .. 20,000,000",18:22 (18:41),Titan Forge Games,Hi-Rez Studios
17,Paladins,"May 8, 2018",Free,N/A (N/A/83%),"10,000,000 .. 20,000,000",02:56 (03:23),Evil Mojo Games,Hi-Rez Studios
18,Destiny 2,"Oct 1, 2019",Free,N/A (N/A/83%),"20,000,000 .. 50,000,000",26:37 (08:24),Bungie,Bungie
19,Counter-Strike: Global Offensive,"Aug 21, 2012",Free,N/A (N/A/83%),"50,000,000 .. 100,000,000",13:28 (05:29),"Valve, Hidden Path Entertainment",Valve
20,WildStar,"Jun 3, 2014",N/A,N/A (N/A/82%),"1,000,000 .. 2,000,000",00:00 (00:00),Carbine Studios,NCSOFT
21,Duelyst,"Aug 23, 2016",N/A,N/A (N/A/82%),"500,000 .. 1,000,000",00:00 (00:00),Counterplay Games Inc.,BANDAI NAMCO Entertainment America
22,Realm of the Mad God Exalt,"Feb 20, 2012",Free,N/A (N/A/82%),"2,000,000 .. 5,000,000",03:37 (02:24),"Wild Shadow Studios, Deca Games",Deca Games
23,Crusader Kings II,"Feb 14, 2012",Free,N/A (N/A/82%),"2,000,000 .. 5,000,000",03:37 (02:18),Paradox Development Studio,Paradox Interactive
24,Order of Battle: World War II,"Apr 30, 2015",Free,N/A (N/A/81%),"200,000 .. 500,000",00:00 (00:00),The Artistocrats,Slitherine Ltd.
25,King Arthur's Gold,"Nov 5, 2013",Free,N/A (N/A/81%),"500,000 .. 1,000,000",00:00 (00:00),Transhuman Design,Transhuman Design
26,Atlas Reactor,"Oct 4, 2016",N/A,N/A (N/A/81%),"500,000 .. 1,000,000",00:00 (00:00),Trion Worlds,Trion Worlds
27,World of Warships,"Nov 15, 2017",Free,N/A (N/A/81%),"10,000,000 .. 20,000,000",04:11 (00:55),Wargaming Group Limited,Wargaming Group Limited
28,War Thunder,"Aug 15, 2013",Free,N/A (N/A/81%),"20,000,000 .. 50,000,000",15:18 (07:31),Gaijin Entertainment,Gaijin Distribution KFT
29,Super Mega Baseball 3,"May 13, 2020",$22.49,N/A (N/A/80%),"50,000 .. 100,000",00:00 (00:00),Metalhead Software Inc.,Electronic Arts
30,ArcheAge,"Mar 26, 2015",Free,N/A (N/A/80%),"1,000,000 .. 2,000,000",00:00 (00:00),XLGAMES,Trion Worlds
31,Card Hunter,"Jul 13, 2015",Free,N/A (N/A/80%),"1,000,000 .. 2,000,000",00:00 (00:00),The Knights of Unity,The Knights of Unity
32,KARDS - The WWII Card Game,"Apr 15, 2020",Free,N/A (N/A/80%),"1,000,000 .. 2,000,000",02:16 (00:45),1939 Games,1939 Games
33,GWENT: The Witcher Card Game,"May 19, 2020",Free,N/A (N/A/80%),"1,000,000 .. 2,000,000",01:52 (01:52),CD PROJEKT RED,CD PROJEKT RED
34,Ragnarok Online,"Jun 1, 2003",Free,N/A (N/A/79%),"500,000 .. 1,000,000",00:00 (00:00),Gravity Interactive,Gravity Interactive
35,Bloodline Champions,"Jan 13, 2011",Free,N/A (N/A/79%),"500,000 .. 1,000,000",00:00 (00:00),Stunlock Studios,Stunlock Studios
36,Altitude,"Dec 4, 2009",Free,N/A (N/A/79%),"200,000 .. 500,000",00:00 (00:00),Nimbly Games,Nimbly Games
37,The Awesome Adventures of Captain Spirit,"Jun 25, 2018",N/A,N/A (N/A/79%),"2,000,000 .. 5,000,000",00:00 (00:00),DONTNOD Entertainment,Square Enix
38,Dungeon Fighter Online,"Aug 9, 2016",Free,N/A (N/A/78%),"500,000 .. 1,000,000",00:00 (00:00),Neople,Neople
39,Awesomenauts - the 2D moba,"Aug 1, 2012",Free,N/A (N/A/78%),"2,000,000 .. 5,000,000",00:00 (00:00),Ronimo Games,Ronimo Games
40,Rise of Flight United,"Sep 5, 2013",Free,N/A (N/A/77%),"200,000 .. 500,000",00:00 (00:00),777 Studios,1C Game Studios
41,TERA - Action MMORPG,"Jan 31, 2017",Free,N/A (N/A/77%),"1,000,000 .. 2,000,000",00:00 (00:00),"Bluehole, Inc.",Gameforge 4D GmbH
42,Evolve Stage 2,"Feb 10, 2015",N/A,N/A (N/A/77%),"5,000,000 .. 10,000,000",00:00 (00:00),Turtle Rock Studios,2K
43,Vindictus,"Jun 22, 2012",Free,N/A (N/A/76%),"1,000,000 .. 2,000,000",00:00 (00:00),devCAT,NEXON Korea Corp. & NEXON America Inc.
44,Secret World Legends,"Jul 31, 2017",Free,N/A (N/A/76%),"1,000,000 .. 2,000,000",00:00 (00:00),Funcom,Funcom
45,Gigantic,"Jul 19, 2017",N/A,N/A (N/A/76%),"1,000,000 .. 2,000,000",00:03 (00:01),Motiga Inc.,Perfect World Entertainment
46,WAKFU,"Sep 18, 2014",Free,N/A (N/A/76%),"1,000,000 .. 2,000,000",00:10 (00:03),Ankama Studio,Ankama Games
47,CAYNE,"Jan 24, 2017",Free,N/A (N/A/75%),"200,000 .. 500,000",00:00 (00:00),THE BROTHERHOOD,THE BROTHERHOOD
48,Stronghold Kingdoms,"Feb 27, 2012",Free,N/A (N/A/75%),"1,000,000 .. 2,000,000",00:00 (00:00),FireFly Studios,FireFly Studios
49,Star Conflict,"Feb 27, 2013",Free,N/A (N/A/75%),"2,000,000 .. 5,000,000",00:00 (00:00),Star Gem Inc.,Gaijin Distribution KFT
50,Blacklight: Retribution,"Jul 2, 2012",N/A,N/A (N/A/75%),"2,000,000 .. 5,000,000",00:00 (00:00),"Hardsuit Labs, Inc.","Hardsuit Labs, Inc."
51,AirBuccaneers,"Dec 1, 1986",N/A,N/A (N/A/74%),"200,000 .. 500,000",00:00 (00:00),LudoCraft Ltd.,LudoCraft Ltd.
52,Darwin Project,"Jan 13, 2020",Free,N/A (N/A/74%),"500,000 .. 1,000,000",00:00 (00:00),Scavengers Studio,Scavengers Studio
53,Neverwinter,"Dec 5, 2013",Free,N/A (N/A/74%),"5,000,000 .. 10,000,000",00:00 (00:00),Cryptic Studios,Perfect World Entertainment
54,Insidia,"Feb 27, 2018",N/A,N/A (N/A/73%),"50,000 .. 100,000",00:00 (00:00),Bad Seed,Bad Seed
55,WWII Online,"Jun 6, 2001",Free,N/A (N/A/73%),"500,000 .. 1,000,000",00:00 (00:00),"Cornered Rat Software, LLC.","Playnet, Inc."
56,Anarchy Online,"Jun 27, 2001",Free,N/A (N/A/72%),"100,000 .. 200,000",00:00 (00:00),Funcom,Funcom
57,Champions Online,"Sep 1, 2009",Free,N/A (N/A/72%),"1,000,000 .. 2,000,000",00:00 (00:00),Cryptic Studios,Perfect World Entertainment
58,Block N Load,"Apr 30, 2015",Free,N/A (N/A/72%),"2,000,000 .. 5,000,000",00:00 (00:00),"Toadman Interactive, Artplant",Toadman Interactive
59,DC Universe Online,"Nov 2, 2011",Free,N/A (N/A/72%),"2,000,000 .. 5,000,000",00:00 (00:00),Dimensional Ink Games,Daybreak Game Company
60,Albion Online,"Jul 17, 2017",Free,N/A (N/A/72%),"1,000,000 .. 2,000,000",07:35 (09:51),Sandbox Interactive GmbH,Sandbox Interactive GmbH
61,Loadout,"Jan 31, 2014",N/A,N/A (N/A/72%),"5,000,000 .. 10,000,000",00:01 (00:00),Edge of Reality,Edge of Reality
62,Runes of Magic,"Mar 19, 2009",Free,N/A (N/A/71%),"200,000 .. 500,000",00:00 (00:00),Runewaker Entertainment,Gameforge 4D GmbH‬
63,Fallen Earth Free2Play,"Oct 12, 2011",N/A,N/A (N/A/71%),"1,000,000 .. 2,000,000",00:00 (00:00),Little Orbit,Little Orbit
64,BRINK,"May 9, 2011",Free,N/A (N/A/70%),"1,000,000 .. 2,000,000",00:00 (00:00),Splash Damage,Bethesda Softworks
