#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
1,Guild Wars Game of the Year Edition,"Apr 22, 2009",$19.99,N/A (N/A/89%),"0 .. 20,000",00:00 (00:00),ArenaNet®,NCSOFT
2,EVE Online,"May 6, 2003",Free,N/A (N/A/88%),"2,000,000 .. 5,000,000",11:50 (16:37),CCP,CCP
3,The Lord of the Rings Online,"Jun 6, 2012",Free,N/A (N/A/86%),"2,000,000 .. 5,000,000",03:14 (02:09),"Standing Stone Games, LLC","Standing Stone Games, LLC"
4,Path of Exile,"Oct 23, 2013",Free,N/A (N/A/86%),"20,000,000 .. 50,000,000",01:23 (02:32),Grinding Gear Games,Grinding Gear Games
5,STAR WARS: The Old Republic,"Dec 20, 2011",Free,N/A (N/A/85%),"2,000,000 .. 5,000,000",04:04 (02:42),BioWare,Electronic Arts
6,Guild Wars Factions,"Apr 22, 2009",$19.99,N/A (N/A/84%),"0 .. 20,000",00:00 (00:00),ArenaNet®,NCSOFT
7,Guild Wars Nightfall,"Apr 22, 2009",$19.99,N/A (N/A/84%),"0 .. 20,000",00:00 (00:00),ArenaNet®,NCSOFT
8,RIFT,"Oct 24, 2013",Free,N/A (N/A/84%),"2,000,000 .. 5,000,000",00:00 (00:00),gamigo US Inc.,gamigo US Inc.
9,PlanetSide 2,"Nov 20, 2012",Free,N/A (N/A/84%),"5,000,000 .. 10,000,000",03:45 (01:15),Rogue Planet Games,Daybreak Game Company
10,EverQuest II,"Dec 7, 2011",Free,N/A (N/A/83%),"500,000 .. 1,000,000",00:00 (00:00),Darkpaw Games,Daybreak Game Company
11,FINAL FANTASY XIV Online,"Feb 18, 2014",$19.99,N/A (N/A/83%),"2,000,000 .. 5,000,000",50:14 (75:09),Square Enix,Square Enix
12,WildStar,"Jun 3, 2014",N/A,N/A (N/A/82%),"1,000,000 .. 2,000,000",00:00 (00:00),Carbine Studios,NCSOFT
13,Realm of the Mad God Exalt,"Feb 20, 2012",Free,N/A (N/A/82%),"2,000,000 .. 5,000,000",03:37 (02:24),"Wild Shadow Studios, Deca Games",Deca Games
14,Faeria,"Mar 8, 2017",$19.99,N/A (N/A/81%),"500,000 .. 1,000,000",00:00 (00:00),Abrakam Entertainment SA,Versus Evil
15,Rising Storm 2: Vietnam,"May 30, 2017",$24.99,N/A (N/A/81%),"1,000,000 .. 2,000,000",12:14 (08:49),"Antimatter Games, Tripwire Interactive",Tripwire Interactive
16,World of Warships,"Nov 15, 2017",Free,N/A (N/A/81%),"10,000,000 .. 20,000,000",04:11 (00:55),Wargaming Group Limited,Wargaming Group Limited
17,War Thunder,"Aug 15, 2013",Free,N/A (N/A/81%),"20,000,000 .. 50,000,000",15:18 (07:31),Gaijin Entertainment,Gaijin Distribution KFT
18,ArcheAge,"Mar 26, 2015",Free,N/A (N/A/80%),"1,000,000 .. 2,000,000",00:00 (00:00),XLGAMES,Trion Worlds
19,Elite Dangerous,"Apr 2, 2015",$29.99,N/A (N/A/80%),"2,000,000 .. 5,000,000",06:20 (10:05),Frontier Developments,Frontier Developments
20,Fall Guys: Ultimate Knockout,"Aug 3, 2020",$19.99,N/A (N/A/80%),"10,000,000 .. 20,000,000",01:55 (01:24),Mediatonic,Hangover Cat Purrroduction
21,Guild Wars: Eye of the North,"Oct 8, 2010",$19.99,N/A (N/A/79%),"0 .. 20,000",00:00 (00:00),ArenaNet®,NCSOFT
22,Ragnarok Online,"Jun 1, 2003",Free,N/A (N/A/79%),"500,000 .. 1,000,000",00:00 (00:00),Gravity Interactive,Gravity Interactive
23,Bloodline Champions,"Jan 13, 2011",Free,N/A (N/A/79%),"500,000 .. 1,000,000",00:00 (00:00),Stunlock Studios,Stunlock Studios
24,iRacing,"Jan 12, 2015",N/A,N/A (N/A/79%),"200,000 .. 500,000",00:00 (00:00),"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing"
25,Hell Let Loose,"Jul 27, 2021",$39.99,N/A (N/A/79%),"1,000,000 .. 2,000,000",08:54 (01:47),Black Matter Pty Ltd,Team17
26,ARCADE,"Oct 14, 2020",$2.99,N/A (N/A/78%),"0 .. 20,000",00:00 (00:00),EYEFRONT,EYEFRONT
27,Dungeon Fighter Online,"Aug 9, 2016",Free,N/A (N/A/78%),"500,000 .. 1,000,000",00:00 (00:00),Neople,Neople
28,TERA - Action MMORPG,"Jan 31, 2017",Free,N/A (N/A/77%),"1,000,000 .. 2,000,000",00:00 (00:00),"Bluehole, Inc.",Gameforge 4D GmbH
29,Vindictus,"Jun 22, 2012",Free,N/A (N/A/76%),"1,000,000 .. 2,000,000",00:00 (00:00),devCAT,NEXON Korea Corp. & NEXON America Inc.
30,Secret World Legends,"Jul 31, 2017",Free,N/A (N/A/76%),"1,000,000 .. 2,000,000",00:00 (00:00),Funcom,Funcom
31,WAKFU,"Sep 18, 2014",Free,N/A (N/A/76%),"1,000,000 .. 2,000,000",00:10 (00:03),Ankama Studio,Ankama Games
32,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,"Sep 13, 2011",$19.99,N/A (N/A/76%),"2,000,000 .. 5,000,000",00:42 (00:25),Tripwire Interactive,Tripwire Interactive
33,Stronghold Kingdoms,"Feb 27, 2012",Free,N/A (N/A/75%),"1,000,000 .. 2,000,000",00:00 (00:00),FireFly Studios,FireFly Studios
34,Star Conflict,"Feb 27, 2013",Free,N/A (N/A/75%),"2,000,000 .. 5,000,000",00:00 (00:00),Star Gem Inc.,Gaijin Distribution KFT
35,New World,"Sep 28, 2021",$39.99,N/A (N/A/75%),"10,000,000 .. 20,000,000",44:57 (32:16),Amazon Games,Amazon Games
36,Neverwinter,"Dec 5, 2013",Free,N/A (N/A/74%),"5,000,000 .. 10,000,000",00:00 (00:00),Cryptic Studios,Perfect World Entertainment
37,WWII Online,"Jun 6, 2001",Free,N/A (N/A/73%),"500,000 .. 1,000,000",00:00 (00:00),"Cornered Rat Software, LLC.","Playnet, Inc."
38,Black Desert,"May 24, 2017",$9.99,N/A (N/A/73%),"5,000,000 .. 10,000,000",22:06 (19:22),Pearl Abyss,Pearl Abyss
39,Anarchy Online,"Jun 27, 2001",Free,N/A (N/A/72%),"100,000 .. 200,000",00:00 (00:00),Funcom,Funcom
40,Dofus,"Nov 15, 2016",N/A,N/A (N/A/72%),"100,000 .. 200,000",00:00 (00:00),Ankama Studio,Ankama Games
41,Champions Online,"Sep 1, 2009",Free,N/A (N/A/72%),"1,000,000 .. 2,000,000",00:00 (00:00),Cryptic Studios,Perfect World Entertainment
42,Block N Load,"Apr 30, 2015",Free,N/A (N/A/72%),"2,000,000 .. 5,000,000",00:00 (00:00),"Toadman Interactive, Artplant",Toadman Interactive
43,DC Universe Online,"Nov 2, 2011",Free,N/A (N/A/72%),"2,000,000 .. 5,000,000",00:00 (00:00),Dimensional Ink Games,Daybreak Game Company
44,Albion Online,"Jul 17, 2017",Free,N/A (N/A/72%),"1,000,000 .. 2,000,000",07:35 (09:51),Sandbox Interactive GmbH,Sandbox Interactive GmbH
45,Runes of Magic,"Mar 19, 2009",Free,N/A (N/A/71%),"200,000 .. 500,000",00:00 (00:00),Runewaker Entertainment,Gameforge 4D GmbH‬
46,Heliborne Collection,"Oct 12, 2017",$29.99,N/A (N/A/71%),"100,000 .. 200,000",00:00 (00:00),Klabater,Klabater
47,Fallen Earth Free2Play,"Oct 12, 2011",N/A,N/A (N/A/71%),"1,000,000 .. 2,000,000",00:00 (00:00),Little Orbit,Little Orbit
48,The Crew,"Dec 1, 2014",$29.99,N/A (N/A/71%),"200,000 .. 500,000",00:00 (00:00),Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft
49,NARAKA: BLADEPOINT,"Aug 11, 2021",$19.99,N/A (N/A/71%),"2,000,000 .. 5,000,000",21:49 (15:15),24 Entertainment,NetEase Games Montréal
50,Verdun,"Apr 28, 2015",$19.99,N/A (N/A/70%),"1,000,000 .. 2,000,000",00:00 (00:00),"M2H, Blackmill Games",M2H
51,Z1 Battle Royale,"Feb 28, 2018",Free,N/A (N/A/70%),"10,000,000 .. 20,000,000",01:01 (00:20),Daybreak Game Company,Daybreak Game Company
52,ARK: Survival Evolved,"Aug 27, 2017",$29.99,N/A (N/A/70%),"10,000,000 .. 20,000,000",19:24 (14:54),"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard
53,Allods Online,"Oct 1, 2009",N/A,N/A (N/A/69%),"100,000 .. 200,000",00:00 (00:00),IT Territory,MY.GAMES
54,Allods Online RU,"Oct 1, 2009",Free,N/A (N/A/69%),"100,000 .. 200,000",00:00 (00:00),IT Territory,MY.GAMES
55,World of Warplanes,"Sep 12, 2018",Free,N/A (N/A/69%),"200,000 .. 500,000",00:00 (00:00),Wargaming Group Limited,Wargaming Group Limited
56,Tannenberg,"Nov 16, 2017",$19.99,N/A (N/A/69%),"200,000 .. 500,000",00:00 (00:00),"M2H, Blackmill Games",M2H
57,Rust,"Feb 8, 2018",$39.99,N/A (N/A/69%),"20,000,000 .. 50,000,000",17:47 (05:28),Facepunch Studios,Facepunch Studios
58,Ink.,"Feb 3, 2021",$10.99,N/A (N/A/68%),"0 .. 20,000",00:00 (00:00),cpsoft,cpsoft
