#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
1,Sid Meier's Civilization IV,"Oct 25, 2006",$19.99,N/A (N/A/94%),"1,000,000 .. 2,000,000",00:00 (00:00),Firaxis Games,2K
2,Divinity: Original Sin - Enhanced Edition,"Oct 27, 2015",$39.99,N/A (N/A/94%),"1,000,000 .. 2,000,000",01:27 (00:57),Larian Studios,Larian Studios
3,Company of Heroes - Legacy Edition,"Jul 17, 2007",$19.99,N/A (N/A/93%),"2,000,000 .. 5,000,000",00:00 (00:00),Relic Entertainment,SEGA
4,Company of Heroes,"Sep 11, 2006",$19.99,N/A (N/A/93%),"1,000,000 .. 2,000,000",00:00 (00:00),Relic Entertainment,SEGA
5,Divinity: Original Sin 2 - Definitive Edition,"Sep 14, 2017",$44.99,N/A (N/A/93%),"5,000,000 .. 10,000,000",09:04 (06:33),Larian Studios,Larian Studios
6,Galactic Civilizations II: Ultimate Edition,"Dec 2, 2011",$19.99,N/A (N/A/92%),"500,000 .. 1,000,000",00:00 (00:00),Stardock Entertainment,Stardock Entertainment
7,Rome: Total War - Collection,"Sep 22, 2004",N/A,N/A (N/A/92%),"1,000,000 .. 2,000,000",00:00 (00:00),CREATIVE ASSEMBLY,SEGA
8,Out of the Park Baseball 17,"Mar 22, 2016",$19.99,N/A (N/A/92%),"20,000 .. 50,000",00:00 (00:00),Out of the Park Developments,Out of the Park Developments
9,Tumblestone,"Jul 12, 2016",$24.99,N/A (N/A/91%),"100,000 .. 200,000",00:00 (00:00),The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild
10,Crusader Kings III,"Sep 1, 2020",$49.99,N/A (N/A/91%),"2,000,000 .. 5,000,000",07:25 (08:21),Paradox Development Studio,Paradox Interactive
11,Factorio,"Aug 14, 2020",$30,N/A (N/A/91%),"2,000,000 .. 5,000,000",12:27 (13:05),Wube Software LTD.,Wube Software LTD.
12,Sid Meier's Civilization III Complete,"Oct 25, 2006",$4.99,N/A (N/A/90%),"1,000,000 .. 2,000,000",00:00 (00:00),Firaxis Games,2K
13,Braid,"Apr 10, 2009",$14.99,N/A (N/A/90%),"1,000,000 .. 2,000,000",00:00 (00:00),Number None,Number None
14,Into the Breach,"Feb 27, 2018",$3.74,N/A (N/A/90%),"500,000 .. 1,000,000",01:48 (00:36),Subset Games,Subset Games
15,Total War: EMPIRE – Definitive Edition,"Mar 4, 2009",$24.99,N/A (N/A/90%),"2,000,000 .. 5,000,000",11:29 (07:34),"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
16,Total War: SHOGUN 2,"Mar 15, 2011",$29.99,N/A (N/A/90%),"2,000,000 .. 5,000,000",00:00 (00:00),"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
17,Sid Meier's Civilization V,"Sep 21, 2010",$29.99,N/A (N/A/90%),"5,000,000 .. 10,000,000",04:58 (04:26),"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
18,Dota 2,"Jul 9, 2013",Free,N/A (N/A/90%),"100,000,000 .. 200,000,000",26:35 (14:49),Valve,Valve
19,Freedom Force,"May 29, 2009",$4.99,N/A (N/A/90%),"200,000 .. 500,000",00:00 (00:00),Irrational Games,2K
20,Star Control III,"Oct 19, 2017",$3.99,N/A (N/A/89%),"100,000 .. 200,000",00:00 (00:00),Legend Entertainment,Stardock Entertainment
